GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0050839	cell adhesion molecule binding	226	20	5.13	1.7e-07	0.00063563	MF
GO:0046934	phosphatidylinositol-4,5-bisphosphate 3-...	39	7	0.89	2.3e-05	0.0386363333333333	MF
GO:0002020	protease binding	108	11	2.45	3.1e-05	0.0386363333333333	MF
GO:0004714	transmembrane receptor protein tyrosine ...	96	10	2.18	5.9e-05	0.05515025	MF
GO:0097367	carbohydrate derivative binding	696	32	15.79	1e-04	0.07478	MF
GO:0005088	Ras guanyl-nucleotide exchange factor ac...	137	11	3.11	0.00027	0.13553875	MF
GO:0004252	serine-type endopeptidase activity	75	8	1.7	0.00028	0.13553875	MF
GO:0016303	1-phosphatidylinositol-3-kinase activity	41	6	0.93	0.00029	0.13553875	MF
GO:0017134	fibroblast growth factor binding	29	5	0.66	0.00044	0.182795555555556	MF
GO:0086080	protein binding involved in heterotypic ...	8	3	0.18	0.00059	0.220601	MF
GO:0003779	actin binding	176	12	3.99	0.00065	0.220940909090909	MF
GO:0004866	endopeptidase inhibitor activity	52	6	1.18	0.00108	0.327881538461539	MF
GO:0030247	polysaccharide binding	21	4	0.48	0.00114	0.327881538461539	MF
GO:0043621	protein self-association	75	7	1.7	0.0015	0.400607142857143	MF
GO:0042802	identical protein binding	1413	48	32.06	0.00196	0.488562666666667	MF
GO:0008270	zinc ion binding	408	19	9.26	0.00225	0.525796875	MF
GO:0008046	axon guidance receptor activity	13	3	0.3	0.00278	0.564589	MF
GO:0005534	galactose binding	13	3	0.3	0.00278	0.564589	MF
GO:0008381	mechanosensitive ion channel activity	4	2	0.09	0.00298	0.564589	MF
GO:0005547	phosphatidylinositol-3,4,5-trisphosphate...	44	5	1	0.00302	0.564589	MF
GO:0017154	semaphorin receptor activity	29	4	0.66	0.00391	0.69616619047619	MF
GO:0048406	nerve growth factor binding	15	3	0.34	0.00428	0.727405454545455	MF
GO:0015279	store-operated calcium channel activity	5	2	0.11	0.0049	0.796569565217391	MF
GO:0046983	protein dimerization activity	927	33	21.04	0.00561	0.87399125	MF
GO:0005518	collagen binding	33	4	0.75	0.00628	0.9392368	MF
GO:0010461	light-activated ion channel activity	6	2	0.14	0.00724	1	MF
GO:0005001	transmembrane receptor protein tyrosine ...	18	3	0.41	0.0073	1	MF
GO:0090722	receptor-receptor interaction	19	3	0.43	0.00853	1	MF
GO:0002039	p53 binding	61	5	1.38	0.01217	1	MF
GO:0047035	testosterone dehydrogenase (NAD+) activi...	8	2	0.18	0.01311	1	MF
GO:0005043	netrin receptor activity involved in che...	8	2	0.18	0.01311	1	MF
GO:0070679	inositol 1,4,5 trisphosphate binding	8	2	0.18	0.01311	1	MF
GO:0030506	ankyrin binding	23	3	0.52	0.01458	1	MF
GO:0005506	iron ion binding	64	5	1.45	0.01477	1	MF
GO:0004977	melanocortin receptor activity	24	3	0.54	0.0164	1	MF
GO:0004064	arylesterase activity	9	2	0.2	0.0166	1	MF
GO:0004745	retinol dehydrogenase activity	10	2	0.23	0.02045	1	MF
GO:0004392	heme oxygenase (decyclizing) activity	1	1	0.02	0.02269	1	MF
GO:0004008	copper-exporting ATPase activity	1	1	0.02	0.02269	1	MF
GO:1990175	EH domain binding	1	1	0.02	0.02269	1	MF
GO:0008036	diuretic hormone receptor activity	1	1	0.02	0.02269	1	MF
GO:0005052	peroxisome matrix targeting signal-1 bin...	1	1	0.02	0.02269	1	MF
GO:0070699	type II activin receptor binding	1	1	0.02	0.02269	1	MF
GO:0004948	calcitonin receptor activity	1	1	0.02	0.02269	1	MF
GO:0004864	protein phosphatase inhibitor activity	11	2	0.25	0.02462	1	MF
GO:0005509	calcium ion binding	268	11	6.08	0.04147	1	MF
GO:0030898	actin-dependent ATPase activity	15	2	0.34	0.04431	1	MF
GO:0004051	arachidonate 5-lipoxygenase activity	2	1	0.05	0.04487	1	MF
GO:0004760	serine-pyruvate transaminase activity	2	1	0.05	0.04487	1	MF
GO:0031697	beta-1 adrenergic receptor binding	2	1	0.05	0.04487	1	MF
GO:0030984	kininogen binding	2	1	0.05	0.04487	1	MF
GO:0018685	alkane 1-monooxygenase activity	2	1	0.05	0.04487	1	MF
GO:0008449	N-acetylglucosamine-6-sulfatase activity	2	1	0.05	0.04487	1	MF
GO:0051264	mono-olein transacylation activity	2	1	0.05	0.04487	1	MF
GO:0051265	diolein transacylation activity	2	1	0.05	0.04487	1	MF
GO:0015117	thiosulfate transmembrane transporter ac...	2	1	0.05	0.04487	1	MF
GO:0050051	leukotriene-B4 20-monooxygenase activity	2	1	0.05	0.04487	1	MF
GO:0015131	oxaloacetate transmembrane transporter a...	2	1	0.05	0.04487	1	MF
GO:0008405	arachidonic acid 11,12-epoxygenase activ...	2	1	0.05	0.04487	1	MF
GO:0004122	cystathionine beta-synthase activity	2	1	0.05	0.04487	1	MF
GO:0004124	cysteine synthase activity	2	1	0.05	0.04487	1	MF
GO:0004352	glutamate dehydrogenase (NAD+) activity	2	1	0.05	0.04487	1	MF
GO:0001691	pseudophosphatase activity	2	1	0.05	0.04487	1	MF
GO:0103002	16-hydroxypalmitate dehydrogenase activi...	2	1	0.05	0.04487	1	MF
