GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0005109	frizzled binding	38	9	0.73	3e-08	0.00011217	MF
GO:0005539	glycosaminoglycan binding	104	13	2	8.4e-08	0.000157038	MF
GO:0017147	Wnt-protein binding	26	7	0.5	4.2e-07	0.00052346	MF
GO:0048018	receptor ligand activity	73	11	1.41	9.7e-07	0.00082258	MF
GO:0008191	metalloendopeptidase inhibitor activity	11	5	0.21	1.1e-06	0.00082258	MF
GO:0043394	proteoglycan binding	83	10	1.6	3.9e-06	0.00243035	MF
GO:0004714	transmembrane receptor protein tyrosine ...	96	10	1.85	4e-05	0.0213657142857143	MF
GO:0005509	calcium ion binding	268	16	5.16	5.6e-05	0.026173	MF
GO:0005534	galactose binding	13	4	0.25	8.3e-05	0.0344818888888889	MF
GO:0050839	cell adhesion molecule binding	226	14	4.35	0.00011	0.041129	MF
GO:0030898	actin-dependent ATPase activity	15	4	0.29	0.00015	0.0509863636363636	MF
GO:0004601	peroxidase activity	63	7	1.21	0.00019	0.0534142857142857	MF
GO:0042813	Wnt-activated receptor activity	16	4	0.31	2e-04	0.0534142857142857	MF
GO:0017134	fibroblast growth factor binding	29	5	0.56	2e-04	0.0534142857142857	MF
GO:0001849	complement component C1q binding	7	3	0.13	0.00023	0.056085	MF
GO:0001968	fibronectin binding	65	7	1.25	0.00024	0.056085	MF
GO:0005201	extracellular matrix structural constitu...	47	6	0.91	0.00026	0.0571847058823529	MF
GO:0000146	microfilament motor activity	19	4	0.37	0.00041	0.0851661111111111	MF
GO:0001162	RNA polymerase II intronic transcription...	9	3	0.17	0.00054	0.106266315789474	MF
GO:0004175	endopeptidase activity	207	12	3.99	0.00064	0.119648	MF
GO:0046934	phosphatidylinositol-4,5-bisphosphate 3-...	39	5	0.75	0.00085	0.151340476190476	MF
GO:0016303	1-phosphatidylinositol-3-kinase activity	41	5	0.79	0.00107	0.181851363636364	MF
GO:0051082	unfolded protein binding	86	7	1.66	0.0013	0.211334782608696	MF
GO:0005506	iron ion binding	64	6	1.23	0.00139	0.216550416666667	MF
GO:0005160	transforming growth factor beta receptor...	27	4	0.52	0.00165	0.246774	MF
GO:0005518	collagen binding	33	4	0.64	0.00351	0.457705172413793	MF
GO:0008307	structural constituent of muscle	33	4	0.64	0.00351	0.457705172413793	MF
GO:1904929	coreceptor activity involved in Wnt sign...	5	2	0.1	0.00355	0.457705172413793	MF
GO:0043237	laminin-1 binding	5	2	0.1	0.00355	0.457705172413793	MF
GO:0090722	receptor-receptor interaction	19	3	0.37	0.00542	0.675512666666667	MF
GO:0002162	dystroglycan binding	7	2	0.13	0.00727	0.876855806451613	MF
GO:0044183	protein binding involved in protein fold...	26	3	0.5	0.01318	1	MF
GO:0044548	S100 protein binding	10	2	0.19	0.015	1	MF
GO:0002020	protease binding	108	6	2.08	0.01778	1	MF
GO:0004065	arylsulfatase activity	11	2	0.21	0.0181	1	MF
GO:0005115	receptor tyrosine kinase-like orphan rec...	1	1	0.02	0.01926	1	MF
GO:0120048	U6 snRNA (adenine-(43)-N(6))-methyltrans...	1	1	0.02	0.01926	1	MF
GO:0030629	U6 snRNA 3'-end binding	1	1	0.02	0.01926	1	MF
GO:0019153	protein-disulfide reductase (glutathione...	1	1	0.02	0.01926	1	MF
GO:0070061	fructose binding	1	1	0.02	0.01926	1	MF
GO:0031775	lutropin-choriogonadotropic hormone rece...	1	1	0.02	0.01926	1	MF
GO:0004720	protein-lysine 6-oxidase activity	1	1	0.02	0.01926	1	MF
GO:0086039	calcium-transporting ATPase activity inv...	1	1	0.02	0.01926	1	MF
