metacell_new,cell_type,N
1,calicoblast,94
1,,3
2,calicoblast,60
3,calicoblast,97
3,,1
4,calicoblast,56
4,,1
5,calicoblast,99
5,epidermis_1,1
6,calicoblast,96
7,calicoblast,97
7,,3
7,unknown_1,1
8,calicoblast,35
8,,4
8,neuron_2,1
9,calicoblast,14
9,,13
9,epidermis_1,1
10,calicoblast,66
10,,7
10,precursors,7
11,calicoblast,39
11,,12
12,calicoblast,84
12,,12
12,epidermis_1,1
13,calicoblast,69
13,,11
14,epidermis_1,59
14,,8
14,calicoblast,4
15,epidermis_1,76
15,,3
15,unknown_3,1
16,epidermis_1,100
16,,5
16,precursors,1
16,calicoblast,1
16,neuron_1,1
17,epidermis_1,50
17,,4
18,epidermis_1,81
18,,5
19,epidermis_1,49
19,,4
20,epidermis_1,77
20,,6
20,precursors,1
20,calicoblast,1
21,epidermis_1,57
21,,9
21,precursors,2
21,gastrodermis,2
21,cnidocyte,1
22,epidermis_1,50
22,,6
22,precursors,1
23,,55
23,epidermis_1,13
24,epidermis_1,25
24,,11
24,unknown_2,2
25,epidermis_1,20
25,,12
26,epidermis_1,19
26,,18
26,precursors,3
27,epidermis_1,18
27,,4
27,precursors,2
28,,22
28,precursors,6
28,epidermis_1,1
28,gland_1,1
28,gastrodermis,1
28,unknown_2,1
29,,43
29,epidermis_1,5
29,gastrodermis,2
29,neuron_2,1
29,unknown_3,1
30,,11
30,precursors,8
30,calicoblast,3
30,gastrodermis,2
30,epidermis_1,2
30,unknown_3,1
31,precursors,100
31,,20
31,calicoblast,3
31,epidermis_1,2
32,,37
32,precursors,8
32,gastrodermis,2
32,unknown_3,1
33,,23
33,precursors,18
33,calicoblast,1
33,gastrodermis,1
34,,31
34,precursors,5
34,calicoblast,3
34,gastrodermis,1
34,unknown_3,1
34,neuron_1,1
34,gland_1,1
35,,86
35,epidermis_1,5
35,unknown_3,1
35,unknown_2,1
35,precursors,1
35,neuron_1,1
35,neuron_2,1
35,gland_2,1
36,,30
36,epidermis_1,2
36,neuron_1,1
37,gastrodermis,59
37,,4
37,precursors,1
38,gastrodermis,50
38,,13
39,gastrodermis,36
39,,5
39,neuron_2,1
40,gastrodermis,105
40,,3
41,gastrodermis,113
41,,4
41,gland_1,1
42,gastrodermis,75
42,,4
42,gland_1,1
43,gastrodermis,83
43,,3
43,precursors,1
44,gastrodermis,66
44,,8
44,precursors,3
44,calicoblast,1
45,,20
45,gastrodermis,8
45,precursors,1
46,,45
46,gastrodermis,11
47,,30
47,gastrodermis,17
47,precursors,2
47,neuron_2,1
47,epidermis_1,1
47,unknown_3,1
48,,31
48,gastrodermis,5
48,unknown_2,3
48,epidermis_1,1
48,gland_2,1
49,,33
49,epidermis_1,3
49,precursors,2
49,calicoblast,2
50,,29
50,precursors,3
50,gland_2,2
50,gastrodermis,1
50,neuron_2,1
51,,54
51,calicoblast,4
51,precursors,1
52,,50
52,calicoblast,5
52,gland_1,2
52,cnidocyte,1
52,neuron_2,1
52,epidermis_1,1
53,unknown_2,25
53,,12
53,epidermis_1,3
53,calicoblast,2
53,gastrodermis,1
54,,60
54,calicoblast,7
54,unknown_3,1
54,gastrodermis,1
54,epidermis_1,1
55,,20
55,epidermis_1,14
55,gastrodermis,2
56,,32
56,epidermis_1,4
56,calicoblast,2
56,gastrodermis,1
56,precursors,1
56,cnidocyte,1
56,neuron_2,1
57,unknown_1,53
57,,3
57,calicoblast,2
58,unknown_3,26
58,,7
58,gland_2,1
58,calicoblast,1
59,cnidocyte,29
59,,11
59,calicoblast,2
59,precursors,1
60,gland_2,19
60,,6
60,gland_1,5
60,gastrodermis,2
60,neuron_2,1
60,neuron_1,1
60,unknown_3,1
61,,17
61,gland_1,8
61,calicoblast,1
61,epidermis_1,1
61,neuron_1,1
61,precursors,1
61,unknown_2,1
62,,53
62,gastrodermis,1
62,epidermis_1,1
62,unknown_3,1
63,gland_2,17
63,gland_1,15
63,,3
63,gastrodermis,1
63,unknown_2,1
64,neuron_1,74
64,,14
64,neuron_2,2
65,neuron_2,59
65,,11
65,precursors,1
65,calicoblast,1
65,gland_1,1
65,neuron_1,1
