cell	UMI_per_cell	total_reads_per_cell	mapped_reads_per_cell	gene_mapped	mapped_reads_per_UMI	sample
WASP0001001	338	3439	4016	1740	11.8816568047337	DS30
WASP0001002	947	8595	10912	4445	11.5227032734952	DS30
WASP0001003	1405	17332	18553	6731	13.2049822064057	DS30
WASP0001004	20	143	47	18	2.35	DS30
WASP0001005	469	4742	5232	2013	11.1556503198294	DS30
WASP0001007	1509	15056	19212	8150	12.7316103379722	DS30
WASP0001008	835	9882	9983	3372	11.9556886227545	DS30
WASP0001009	24	186	225	82	9.375	DS30
WASP0001010	1247	12203	14774	5532	11.8476343223737	DS30
WASP0001011	633	6409	8103	3380	12.8009478672986	DS30
WASP0001014	494	4621	6232	2808	12.6153846153846	DS30
WASP0001015	809	8205	10451	4315	12.9184177997528	DS30
WASP0001016	565	5926	6976	2791	12.3469026548673	DS30
WASP0001017	727	8101	9181	3541	12.6286107290234	DS30
WASP0001018	222	2340	2550	1092	11.4864864864865	DS30
WASP0001019	582	5503	6734	2662	11.5704467353952	DS30
WASP0001020	1838	15705	19020	8063	10.348204570185	DS30
WASP0001021	328	3488	3840	1517	11.7073170731707	DS30
WASP0001022	872	10203	10975	4190	12.5860091743119	DS30
WASP0001024	2154	21308	26861	10917	12.4702878365831	DS30
WASP0001028	1838	17602	23137	9924	12.5881392818281	DS30
WASP0001030	562	5715	7446	3207	13.2491103202847	DS30
WASP0001031	1896	19880	24118	9101	12.7204641350211	DS30
WASP0001032	1539	15963	18650	7341	12.1182586094867	DS30
WASP0001033	1855	16045	21394	9310	11.533153638814	DS30
WASP0001034	334	4190	4283	1293	12.8233532934132	DS30
WASP0001035	749	7444	8870	3661	11.8424566088118	DS30
WASP0001036	397	4652	5126	1831	12.911838790932	DS30
WASP0001037	1714	15544	21832	9768	12.7374562427071	DS30
WASP0001038	917	9229	11561	4978	12.6074154852781	DS30
WASP0001039	1808	17886	24202	10379	13.3860619469027	DS30
WASP0001040	720	6830	8770	3750	12.1805555555556	DS30
WASP0001041	757	8549	9865	4216	13.0317040951123	DS30
WASP0001042	1688	17295	21013	8455	12.4484597156398	DS30
WASP0001043	302	4120	3931	1027	13.0165562913907	DS30
WASP0001044	536	5456	6707	2669	12.5130597014925	DS30
WASP0001045	2941	30027	36077	14142	12.2669160149609	DS30
WASP0001047	177	1828	2215	733	12.5141242937853	DS30
WASP0001048	2750	23635	34562	15746	12.568	DS30
WASP0001049	1939	23691	23658	8378	12.2011346054667	DS30
WASP0001050	360	3630	4322	1664	12.0055555555556	DS30
WASP0001054	3452	30879	43439	18689	12.5837195828505	DS30
WASP0001055	684	6227	8830	3947	12.9093567251462	DS30
WASP0001056	503	4927	6478	2723	12.8787276341948	DS30
WASP0001058	333	3110	4086	1802	12.2702702702703	DS30
WASP0001059	394	4751	4949	1533	12.5609137055838	DS30
WASP0001060	319	3324	3767	1554	11.8087774294671	DS30
WASP0001061	446	4631	5754	2208	12.9013452914798	DS30
WASP0001062	1594	15269	19217	8016	12.055834378921	DS30
WASP0001063	665	6563	8504	3451	12.787969924812	DS30
WASP0001064	1822	18166	21893	8870	12.0159165751921	DS30
WASP0001065	873	9078	11338	4737	12.9873997709049	DS30
WASP0001066	1117	11910	14181	5201	12.6956132497762	DS30
WASP0001067	574	5665	7145	2917	12.4477351916376	DS30
WASP0001068	447	4695	5556	2115	12.4295302013423	DS30
WASP0001069	3619	33616	43417	18295	11.9969604863222	DS30
WASP0001070	1242	13751	16324	6201	13.1433172302738	DS30
WASP0001071	864	9272	10427	3909	12.068287037037	DS30
WASP0001072	956	9580	12280	5301	12.8451882845188	DS30
WASP0001073	291	3710	3928	1359	13.4982817869416	DS30
WASP0001074	546	6216	6828	2503	12.5054945054945	DS30
WASP0001076	467	5792	5957	2169	12.7558886509636	DS30
WASP0001077	461	4657	5596	2261	12.1388286334056	DS30
WASP0001078	1065	11758	13804	5259	12.9615023474178	DS30
WASP0001079	768	7695	10023	4283	13.05078125	DS30
WASP0001080	489	4778	6079	2574	12.4314928425358	DS30
WASP0001081	758	7346	9678	4247	12.7678100263852	DS30
WASP0001082	704	7223	8154	2729	11.5823863636364	DS30
WASP0001084	270	3312	3162	958	11.7111111111111	DS30
WASP0001085	682	6876	8663	3452	12.7023460410557	DS30
WASP0001086	531	4448	5959	2545	11.2222222222222	DS30
WASP0001087	321	2704	3845	1682	11.9781931464174	DS30
WASP0001088	518	5792	6466	2512	12.4826254826255	DS30
WASP0001090	1267	11825	15961	6359	12.5974743488556	DS30
WASP0001091	1453	13994	18804	8044	12.9415003441156	DS30
WASP0001092	1277	12485	15152	5742	11.8653093187157	DS30
WASP0001093	306	3019	3203	1132	10.4673202614379	DS30
WASP0001094	881	9081	11022	4366	12.5107832009081	DS30
WASP0001095	610	5954	7867	3394	12.8967213114754	DS30
WASP0001096	307	3389	3909	1446	12.7328990228013	DS30
WASP0001097	1534	13930	17996	7796	11.7314211212516	DS30
WASP0001098	2489	26847	31313	12898	12.580554439534	DS30
WASP0001099	209	2107	2531	1055	12.11004784689	DS30
WASP0001100	332	2988	3479	1323	10.4789156626506	DS30
WASP0001101	176	1563	1940	818	11.0227272727273	DS30
WASP0001102	239	2654	2814	947	11.7740585774059	DS30
WASP0001103	185	1701	2009	745	10.8594594594595	DS30
WASP0001105	1346	13255	17599	7659	13.0750371471025	DS30
WASP0001106	996	10214	12572	5085	12.6224899598394	DS30
WASP0001107	1451	17522	19208	7122	13.2377670572019	DS30
WASP0001108	2713	25336	32170	13449	11.8577220788795	DS30
WASP0001109	607	7712	8309	2844	13.6886326194399	DS30
WASP0001112	2173	19598	27438	11911	12.6267832489646	DS30
WASP0001113	571	6107	7026	2924	12.3047285464098	DS30
WASP0001114	969	10085	11843	4570	12.2218782249742	DS30
WASP0001116	807	9366	10423	4308	12.9157372986369	DS30
WASP0001117	734	6550	8833	3930	12.0340599455041	DS30
WASP0001118	990	10899	12301	4406	12.4252525252525	DS30
WASP0001119	533	7065	7155	2005	13.4240150093809	DS30
WASP0001120	1760	17651	22501	9109	12.7846590909091	DS30
WASP0001121	226	2359	2349	807	10.3938053097345	DS30
WASP0001122	3414	32852	41585	17554	12.180726420621	DS30
WASP0001123	388	4521	4744	1608	12.2268041237113	DS30
WASP0001124	351	3129	4187	1711	11.9287749287749	DS30
WASP0001125	615	5751	7674	3318	12.4780487804878	DS30
WASP0001126	1601	20119	21713	8265	13.5621486570893	DS30
WASP0001127	394	3781	4824	2200	12.243654822335	DS30
WASP0001128	41	328	195	79	4.75609756097561	DS30
WASP0001130	1135	16865	17068	5648	15.0378854625551	DS30
WASP0001131	284	2640	3059	1298	10.7711267605634	DS30
WASP0001133	1996	30662	27448	8661	13.751503006012	DS30
WASP0001134	353	3928	4600	1766	13.0311614730878	DS30
WASP0001136	782	7617	9443	4130	12.0754475703325	DS30
WASP0001138	594	6880	7306	2601	12.2996632996633	DS30
WASP0001139	328	3091	4101	1590	12.5030487804878	DS30
WASP0001141	2243	26496	28777	11123	12.8296923762818	DS30
WASP0001142	2119	21196	25515	10928	12.0410571024068	DS30
