cell	UMI_per_cell	total_reads_per_cell	mapped_reads_per_cell	gene_mapped	mapped_reads_per_UMI	sample
WASP0001001	460	10126	12005	5086	26.0978260869565	DS90
WASP0001002	1230	26047	31687	12302	25.7617886178862	DS90
WASP0001003	1862	52516	54218	18741	29.1181525241676	DS90
WASP0001004	26	412	124	44	4.76923076923077	DS90
WASP0001005	639	14501	15330	5403	23.9906103286385	DS90
WASP0001007	2029	45481	56662	23187	27.9260719566289	DS90
WASP0001008	1085	29530	28422	8831	26.1953917050691	DS90
WASP0001009	35	616	724	260	20.6857142857143	DS90
WASP0001010	1565	36565	42503	14861	27.1584664536741	DS90
WASP0001011	819	19507	24010	9775	29.3162393162393	DS90
WASP0001014	621	13383	18053	7875	29.0708534621578	DS90
WASP0001015	1055	24811	30561	12035	28.9677725118483	DS90
WASP0001016	743	17573	20448	7930	27.5208613728129	DS90
WASP0001017	973	24246	26407	9654	27.1397738951696	DS90
WASP0001018	277	7272	7103	2889	25.6425992779783	DS90
WASP0001019	724	16616	19353	7144	26.7306629834254	DS90
WASP0001020	2487	47600	55976	22759	22.5074386811419	DS90
WASP0001021	447	10438	11073	4210	24.7718120805369	DS90
WASP0001022	1195	30467	32503	11978	27.1991631799163	DS90
WASP0001024	2757	64054	78520	30709	28.4802321363801	DS90
WASP0001028	2385	52722	68143	28454	28.5714884696017	DS90
WASP0001030	725	17131	21736	9003	29.9806896551724	DS90
WASP0001031	2576	59397	69571	25022	27.0073757763975	DS90
WASP0001032	2014	48283	54045	20109	26.8346573982125	DS90
WASP0001033	2421	48281	62751	26378	25.9194547707559	DS90
WASP0001034	436	12316	12210	3281	28.0045871559633	DS90
WASP0001035	935	22343	26402	10533	28.2374331550802	DS90
WASP0001036	549	13973	14691	4624	26.7595628415301	DS90
WASP0001037	2241	46699	63873	28034	28.5020080321285	DS90
WASP0001038	1168	27614	33540	13985	28.7157534246575	DS90
WASP0001039	2374	53881	70824	29572	29.8331929233361	DS90
WASP0001040	962	19927	25581	10596	26.5914760914761	DS90
WASP0001041	1002	25686	29070	11997	29.0119760479042	DS90
WASP0001042	2281	52782	61418	23518	26.925909688733	DS90
WASP0001043	390	12551	11217	2362	28.7615384615385	DS90
WASP0001044	706	16539	19713	7577	27.9220963172805	DS90
WASP0001045	3713	90561	104077	38239	28.0304336116348	DS90
WASP0001047	237	5748	6499	1916	27.42194092827	DS90
WASP0001048	3633	70767	102287	45859	28.1549683457198	DS90
WASP0001049	2666	71180	69118	23262	25.9257314328582	DS90
WASP0001050	464	10874	12622	4734	27.2025862068966	DS90
WASP0001054	4497	93249	128509	53900	28.57660662664	DS90
WASP0001055	878	18573	25807	11387	29.3929384965831	DS90
WASP0001056	659	14318	18299	7448	27.7678300455235	DS90
WASP0001058	421	9378	12016	5135	28.541567695962	DS90
WASP0001059	486	14248	13783	3647	28.3600823045268	DS90
WASP0001060	411	9935	11043	4365	26.8686131386861	DS90
WASP0001061	566	13886	16561	5828	29.2597173144876	DS90
WASP0001062	2071	45815	56090	22305	27.0835345243844	DS90
WASP0001063	882	19778	24635	9612	27.9308390022676	DS90
WASP0001064	2431	55823	64727	25210	26.6256684491979	DS90
WASP0001065	1133	26818	32938	13307	29.0714916151809	DS90
WASP0001066	1544	35436	40977	14312	26.5395077720207	DS90
WASP0001067	726	17019	20898	8184	28.7851239669422	DS90
WASP0001068	605	14451	16245	5893	26.8512396694215	DS90
WASP0001069	4734	101168	127435	51795	26.9190959019856	DS90
WASP0001070	1588	40099	46094	16149	29.0264483627204	DS90
WASP0001071	1126	27982	30804	10700	27.3570159857904	DS90
WASP0001072	1270	28976	35994	15028	28.3417322834646	DS90
WASP0001073	398	11460	11747	3775	29.5150753768844	DS90
WASP0001074	715	18446	19325	6392	27.027972027972	DS90
WASP0001076	621	16983	16903	5809	27.219001610306	DS90
WASP0001077	609	14212	15973	5981	26.2282430213465	DS90
WASP0001078	1380	35112	39912	14352	28.9217391304348	DS90
WASP0001079	999	23011	29523	12175	29.5525525525526	DS90
WASP0001080	638	14205	17685	7283	27.7194357366771	DS90
WASP0001081	1027	22264	28594	12230	27.842259006816	DS90
WASP0001082	935	21528	23638	7314	25.2812834224599	DS90
WASP0001084	343	9811	8894	2358	25.930029154519	DS90
WASP0001085	951	20689	25271	9653	26.5730809674027	DS90
WASP0001086	693	13482	17105	6889	24.6825396825397	DS90
WASP0001087	394	7979	11046	4662	28.0355329949239	DS90
WASP0001088	679	17512	18884	6823	27.8114874815906	DS90
WASP0001090	1601	35910	46335	17311	28.9412866958151	DS90
WASP0001091	1839	42604	55300	22988	30.0706905927134	DS90
WASP0001092	1677	37712	43440	15147	25.9033989266547	DS90
WASP0001093	390	9107	9102	2883	23.3384615384615	DS90
WASP0001094	1186	27766	32358	12117	27.283305227656	DS90
WASP0001095	747	17782	22915	9486	30.6760374832664	DS90
WASP0001096	418	10148	11250	3835	26.9138755980861	DS90
WASP0001097	2086	41368	52633	22015	25.2315436241611	DS90
WASP0001098	3318	79894	92277	36791	27.8110307414105	DS90
WASP0001099	296	6356	7515	3038	25.3885135135135	DS90
WASP0001100	434	9458	10555	3660	24.3202764976959	DS90
WASP0001101	237	4606	5556	2289	23.4430379746835	DS90
WASP0001102	322	8425	8512	2735	26.4347826086957	DS90
WASP0001103	249	5217	5619	1896	22.566265060241	DS90
WASP0001105	1767	40145	51354	21664	29.062818336163	DS90
WASP0001106	1314	30729	37286	14661	28.3759512937595	DS90
WASP0001107	1955	52166	55938	19881	28.6127877237852	DS90
WASP0001108	3580	75478	92725	37032	25.9008379888268	DS90
