cell	UMI_per_cell	total_reads_per_cell	mapped_reads_per_cell	gene_mapped	mapped_reads_per_UMI	sample
WASP0001001	235	1216	1321	573	5.62127659574468	DS10
WASP0001002	654	2778	3663	1546	5.60091743119266	DS10
WASP0001003	988	5919	6425	2433	6.50303643724696	DS10
WASP0001004	14	41	17	6	1.21428571428571	DS10
WASP0001005	327	1581	1771	708	5.41590214067278	DS10
WASP0001007	1078	5024	6451	2788	5.98423005565863	DS10
WASP0001008	581	3333	3414	1229	5.87607573149742	DS10
WASP0001009	16	66	85	33	5.3125	DS10
WASP0001010	857	4240	5112	1960	5.96499416569428	DS10
WASP0001011	472	2168	2825	1185	5.98516949152542	DS10
WASP0001014	370	1561	2152	989	5.81621621621622	DS10
WASP0001015	579	2647	3383	1415	5.84283246977548	DS10
WASP0001016	414	1936	2354	963	5.68599033816425	DS10
WASP0001017	539	2757	3194	1277	5.92578849721707	DS10
WASP0001018	159	814	851	365	5.35220125786164	DS10
WASP0001019	405	1768	2236	888	5.52098765432099	DS10
WASP0001020	1247	5405	6584	2841	5.27987169206095	DS10
WASP0001021	228	1189	1268	497	5.56140350877193	DS10
WASP0001022	619	3321	3634	1452	5.87075928917609	DS10
WASP0001024	1539	7043	9147	3852	5.94346978557505	DS10
WASP0001028	1351	5943	7869	3408	5.82457438934123	DS10
WASP0001030	428	1885	2520	1108	5.88785046728972	DS10
WASP0001031	1333	6715	8314	3268	6.2370592648162	DS10
WASP0001032	1097	5230	6316	2559	5.75752051048314	DS10
WASP0001033	1326	5474	7429	3293	5.6025641025641	DS10
WASP0001034	233	1470	1517	485	6.51072961373391	DS10
WASP0001035	527	2451	2978	1247	5.65085388994307	DS10
WASP0001036	269	1506	1727	643	6.42007434944238	DS10
WASP0001037	1272	5275	7460	3372	5.86477987421384	DS10
WASP0001038	667	3098	3856	1686	5.78110944527736	DS10
WASP0001039	1353	5949	8308	3642	6.14042867701404	DS10
WASP0001040	522	2301	3034	1331	5.81226053639847	DS10
WASP0001041	560	2770	3363	1449	6.00535714285714	DS10
WASP0001042	1214	5752	7054	2909	5.81054365733114	DS10
WASP0001043	199	1320	1354	382	6.80402010050251	DS10
WASP0001044	379	1774	2213	902	5.83905013192612	DS10
WASP0001045	2104	10046	12250	4930	5.8222433460076	DS10
WASP0001047	124	600	785	275	6.33064516129032	DS10
WASP0001048	1989	7766	11394	5250	5.72850678733032	DS10
WASP0001049	1345	7941	8131	3060	6.0453531598513	DS10
WASP0001050	253	1244	1515	607	5.98814229249012	DS10
WASP0001054	2556	10453	14964	6593	5.85446009389671	DS10
WASP0001055	520	2119	3041	1389	5.84807692307692	DS10
WASP0001056	381	1645	2227	968	5.84514435695538	DS10
WASP0001058	244	1058	1420	631	5.81967213114754	DS10
WASP0001059	258	1607	1638	535	6.34883720930233	DS10
WASP0001060	235	1084	1232	524	5.24255319148936	DS10
WASP0001061	327	1605	1978	775	6.04892966360856	DS10
WASP0001062	1189	5145	6511	2776	5.47603027754416	DS10
WASP0001063	465	2203	2884	1214	6.20215053763441	DS10
WASP0001064	1275	6073	7390	3047	5.79607843137255	DS10
WASP0001065	623	3019	3705	1570	5.9470304975923	DS10
WASP0001066	803	4100	4893	1863	6.093399750934	DS10
WASP0001067	425	1884	2398	998	5.64235294117647	DS10
WASP0001068	309	1583	1893	740	6.12621359223301	DS10
WASP0001069	2617	11241	14711	6324	5.62132212457012	DS10
WASP0001070	867	4536	5521	2136	6.3679354094579	DS10
WASP0001071	632	3179	3596	1430	5.68987341772152	DS10
WASP0001072	696	3222	4139	1803	5.94683908045977	DS10
WASP0001073	211	1279	1366	494	6.4739336492891	DS10
WASP0001074	404	2054	2355	924	5.82920792079208	DS10
WASP0001076	320	1923	1966	740	6.14375	DS10
WASP0001077	324	1592	1921	794	5.92901234567901	DS10
WASP0001078	745	3877	4692	1829	6.29798657718121	DS10
WASP0001079	564	2543	3340	1456	5.92198581560284	DS10
WASP0001080	373	1583	2091	915	5.6058981233244	DS10
WASP0001081	539	2444	3145	1409	5.83487940630798	DS10
WASP0001082	492	2471	2810	984	5.71138211382114	DS10
WASP0001084	192	1154	1119	362	5.828125	DS10
WASP0001085	491	2307	2923	1190	5.95315682281059	DS10
WASP0001086	365	1517	2022	882	5.53972602739726	DS10
WASP0001087	220	909	1239	553	5.63181818181818	DS10
WASP0001088	377	1831	2177	868	5.77453580901857	DS10
WASP0001090	910	3911	5371	2202	5.9021978021978	DS10
WASP0001091	1082	4670	6424	2794	5.93715341959335	DS10
WASP0001092	880	4064	5043	1970	5.73068181818182	DS10
WASP0001093	209	974	1064	400	5.09090909090909	DS10
WASP0001094	642	2972	3756	1536	5.85046728971963	DS10
WASP0001095	451	2001	2589	1135	5.74057649667406	DS10
WASP0001096	220	1192	1353	504	6.15	DS10
WASP0001097	1097	4587	6095	2680	5.55606198723792	DS10
WASP0001098	1827	8841	10739	4578	5.87794198139026	DS10
WASP0001099	146	653	832	355	5.6986301369863	DS10
WASP0001100	238	961	1164	466	4.89075630252101	DS10
WASP0001101	121	491	667	285	5.51239669421488	DS10
WASP0001102	149	904	934	331	6.26845637583893	DS10
WASP0001103	140	570	714	282	5.1	DS10
WASP0001105	989	4421	5838	2574	5.90293225480283	DS10
WASP0001106	701	3302	4063	1653	5.79600570613409	DS10
WASP0001107	1040	5879	6493	2491	6.24326923076923	DS10
WASP0001108	1923	8313	10927	4691	5.68226729069163	DS10
WASP0001109	436	2511	2868	1023	6.57798165137615	DS10
WASP0001112	1579	6565	9179	4036	5.81317289423686	DS10
WASP0001113	396	2009	2365	1005	5.97222222222222	DS10
WASP0001114	679	3268	3993	1598	5.88070692194404	DS10
WASP0001116	551	3104	3611	1511	6.5535390199637	DS10
WASP0001117	556	2129	3075	1421	5.53057553956835	DS10
WASP0001118	675	3616	4160	1567	6.16296296296296	DS10
WASP0001119	371	2332	2375	726	6.40161725067385	DS10
WASP0001120	1251	6079	7681	3203	6.13988808952838	DS10
WASP0001121	145	786	760	268	5.24137931034483	DS10
WASP0001122	2405	10840	13830	5932	5.75051975051975	DS10
WASP0001123	262	1534	1608	580	6.13740458015267	DS10
WASP0001124	243	1051	1479	630	6.08641975308642	DS10
WASP0001125	446	1946	2608	1147	5.847533632287	DS10
WASP0001126	1181	6635	7347	2887	6.22099915325995	DS10
WASP0001127	298	1275	1613	750	5.41275167785235	DS10
WASP0001128	27	86	51	22	1.88888888888889	DS10
WASP0001130	826	5586	5830	2013	7.05811138014528	DS10
WASP0001131	192	919	1053	447	5.484375	DS10
WASP0001133	1412	10297	9373	3160	6.63810198300283	DS10
WASP0001134	242	1280	1547	615	6.39256198347107	DS10
WASP0001136	572	2464	3146	1405	5.5	DS10
WASP0001138	412	2379	2555	961	6.20145631067961	DS10
WASP0001139	234	1039	1414	566	6.04273504273504	DS10
WASP0001141	1610	8919	9669	3843	6.0055900621118	DS10
WASP0001142	1523	7157	8526	3755	5.59816152330926	DS10
WASP0001143	832	3773	4950	2123	5.94951923076923	DS10
WASP0001144	887	4274	5155	2166	5.81172491544532	DS10
WASP0001145	416	1893	2366	1049	5.6875	DS10
WASP0001146	296	1620	1699	675	5.73986486486487	DS10
WASP0001147	187	1091	1037	381	5.54545454545455	DS10
WASP0001148	637	3716	4068	1482	6.3861852433281	DS10
WASP0001149	1634	6846	9258	4089	5.66585067319462	DS10
WASP0001151	306	1688	1822	701	5.95424836601307	DS10
WASP0001152	109	1142	820	202	7.52293577981651	DS10
WASP0001153	1428	5950	7937	3372	5.55812324929972	DS10
WASP0001155	1090	4841	6453	2905	5.92018348623853	DS10
WASP0001157	1317	5277	7593	3402	5.76537585421412	DS10
WASP0001158	329	1212	1728	782	5.25227963525836	DS10
WASP0001159	502	2047	3154	1476	6.28286852589641	DS10
WASP0001161	345	1384	1925	899	5.57971014492754	DS10
WASP0001165	272	1407	1730	773	6.36029411764706	DS10
WASP0001166	272	1331	1554	649	5.71323529411765	DS10
WASP0001169	260	1144	1443	624	5.55	DS10
WASP0001170	544	2304	3062	1383	5.62867647058824	DS10
WASP0001171	917	4553	5618	2420	6.12649945474373	DS10
WASP0001172	412	2137	2350	887	5.70388349514563	DS10
WASP0001174	457	1779	2612	1175	5.71553610503282	DS10
WASP0001178	198	907	1107	474	5.59090909090909	DS10
WASP0001179	451	1798	2544	1165	5.64079822616408	DS10
WASP0001181	666	2382	3701	1757	5.55705705705706	DS10
WASP0001182	218	1261	1482	582	6.79816513761468	DS10
WASP0001183	514	2473	2983	1246	5.80350194552529	DS10
WASP0001184	238	1015	1317	581	5.53361344537815	DS10
WASP0001185	388	1642	2027	910	5.22422680412371	DS10
WASP0001186	618	2799	3459	1432	5.59708737864078	DS10
WASP0001187	184	1020	1123	464	6.10326086956522	DS10
WASP0001189	398	1511	2253	1043	5.6608040201005	DS10
WASP0001190	649	3002	3882	1613	5.98151001540832	DS10
WASP0001191	148	654	706	289	4.77027027027027	DS10
WASP0001192	951	4472	5895	2525	6.198738170347	DS10
WASP0001193	176	965	1010	360	5.73863636363636	DS10
WASP0001196	454	2190	2641	1028	5.81718061674009	DS10
WASP0001198	526	2353	3023	1310	5.74714828897338	DS10
WASP0001199	442	2194	2670	1028	6.04072398190045	DS10
WASP0001200	94	404	481	207	5.11702127659575	DS10
WASP0001201	208	865	1140	514	5.48076923076923	DS10
WASP0001202	473	2294	2864	1197	6.05496828752643	DS10
