cell	UMI_per_cell	total_reads_per_cell	mapped_reads_per_cell	gene_mapped	mapped_reads_per_UMI	sample
WASP0001001	388	5767	6697	2860	17.2603092783505	DS50
WASP0001002	1081	14375	17876	7124	16.536540240518	DS50
WASP0001003	1610	29197	30765	10976	19.1086956521739	DS50
WASP0001004	21	230	66	25	3.14285714285714	DS50
WASP0001005	540	8001	8741	3268	16.187037037037	DS50
WASP0001007	1766	25272	31915	13312	18.0719139297848	DS50
WASP0001008	965	16310	16251	5347	16.840414507772	DS50
WASP0001009	29	306	401	157	13.8275862068966	DS50
WASP0001010	1408	20264	24273	8901	17.2393465909091	DS50
WASP0001011	709	10847	13446	5585	18.9647390691114	DS50
WASP0001014	552	7585	10213	4526	18.5018115942029	DS50
WASP0001015	928	13712	17133	6972	18.4622844827586	DS50
WASP0001016	650	9838	11554	4560	17.7753846153846	DS50
WASP0001017	838	13477	15092	5741	18.0095465393795	DS50
WASP0001018	242	3995	4139	1753	17.103305785124	DS50
WASP0001019	663	9315	11213	4343	16.9125188536953	DS50
WASP0001020	2115	26222	31415	13174	14.8534278959811	DS50
WASP0001021	384	5818	6341	2475	16.5130208333333	DS50
WASP0001022	1010	16999	18184	6827	18.0039603960396	DS50
WASP0001024	2433	35616	44295	17725	18.2059186189889	DS50
WASP0001028	2058	29238	38241	16248	18.5816326530612	DS50
WASP0001030	651	9531	12418	5306	19.0752688172043	DS50
WASP0001031	2219	32988	39471	14656	17.787742226228	DS50
WASP0001032	1762	26658	30665	11831	17.4035187287174	DS50
WASP0001033	2093	26735	35431	15259	16.9283325370282	DS50
WASP0001034	381	6879	6965	1995	18.2808398950131	DS50
WASP0001035	836	12560	14919	6053	17.8456937799043	DS50
WASP0001036	474	7777	8434	2898	17.7932489451477	DS50
WASP0001037	1936	25968	35859	15930	18.5222107438017	DS50
WASP0001038	1033	15356	19197	8181	18.5837366892546	DS50
WASP0001039	2045	29784	39952	16966	19.5364303178484	DS50
WASP0001040	810	11106	14326	6050	17.6864197530864	DS50
WASP0001041	856	14108	16348	6908	19.0981308411215	DS50
WASP0001042	1946	29156	34662	13669	17.8119218910586	DS50
WASP0001043	348	6927	6514	1552	18.7183908045977	DS50
WASP0001044	609	9245	11253	4444	18.4778325123153	DS50
WASP0001045	3288	50113	59229	22747	18.0136861313869	DS50
WASP0001047	215	3135	3699	1188	17.2046511627907	DS50
WASP0001048	3183	39397	57564	26132	18.0848256361923	DS50
WASP0001049	2273	39385	39138	13606	17.2186537615486	DS50
