cell	UMI_per_cell	total_reads_per_cell	mapped_reads_per_cell	gene_mapped	mapped_reads_per_UMI	sample
WASP0001001	296	2283	2674	1159	9.03378378378378	DS20
WASP0001002	835	5712	7317	3011	8.76287425149701	DS20
WASP0001003	1256	11687	12504	4636	9.95541401273885	DS20
WASP0001004	19	94	33	12	1.73684210526316	DS20
WASP0001005	422	3161	3522	1368	8.34597156398104	DS20
WASP0001007	1344	9960	12810	5487	9.53125	DS20
WASP0001008	723	6683	6766	2352	9.3582295988935	DS20
WASP0001009	23	135	170	62	7.39130434782609	DS20
WASP0001010	1093	8205	10105	3866	9.2451967063129	DS20
WASP0001011	559	4276	5505	2309	9.8479427549195	DS20
WASP0001014	454	3095	4165	1888	9.17400881057269	DS20
WASP0001015	723	5407	6886	2848	9.52420470262794	DS20
WASP0001016	495	3943	4665	1889	9.42424242424242	DS20
WASP0001017	652	5448	6136	2391	9.41104294478528	DS20
WASP0001018	206	1579	1717	742	8.33495145631068	DS20
WASP0001019	516	3612	4491	1785	8.70348837209302	DS20
WASP0001020	1613	10655	12945	5540	8.02541847489151	DS20
WASP0001021	288	2348	2613	1034	9.07291666666667	DS20
WASP0001022	782	6851	7366	2833	9.41943734015345	DS20
WASP0001024	1949	14252	18185	7483	9.33042585941508	DS20
WASP0001028	1668	11619	15443	6649	9.2583932853717	DS20
WASP0001030	513	3805	4981	2150	9.70955165692008	DS20
WASP0001031	1677	13350	16264	6214	9.69827072152654	DS20
WASP0001032	1386	10667	12620	5065	9.10533910533911	DS20
WASP0001033	1670	10793	14479	6358	8.67005988023952	DS20
WASP0001034	309	2840	2929	912	9.4789644012945	DS20
WASP0001035	672	4960	5894	2441	8.77083333333333	DS20
WASP0001036	355	3085	3463	1267	9.75492957746479	DS20
WASP0001037	1562	10467	14676	6601	9.39564660691421	DS20
WASP0001038	831	6242	7835	3408	9.42839951865223	DS20
WASP0001039	1653	11960	16294	7057	9.85722928009679	DS20
WASP0001040	654	4593	5946	2569	9.09174311926606	DS20
WASP0001041	692	5756	6676	2869	9.64739884393064	DS20
WASP0001042	1521	11463	14104	5746	9.27284681130835	DS20
WASP0001043	266	2724	2702	741	10.1578947368421	DS20
WASP0001044	466	3650	4514	1817	9.68669527896996	DS20
WASP0001045	2634	19946	24416	9706	9.26955201214882	DS20
WASP0001047	164	1172	1455	492	8.87195121951219	DS20
WASP0001048	2470	15603	22906	10501	9.27368421052632	DS20
WASP0001049	1709	15709	15897	5766	9.30193095377414	DS20
WASP0001050	330	2458	2927	1142	8.86969696969697	DS20
WASP0001054	3143	20663	29195	12696	9.28889595927458	DS20
WASP0001055	616	4076	5940	2674	9.64285714285714	DS20
WASP0001056	450	3282	4375	1860	9.72222222222222	DS20
WASP0001058	298	2080	2755	1229	9.24496644295302	DS20
WASP0001059	356	3227	3341	1083	9.38483146067416	DS20
WASP0001060	296	2230	2485	1026	8.39527027027027	DS20
WASP0001061	413	3057	3790	1458	9.17675544794189	DS20
WASP0001062	1429	10212	12811	5387	8.96501049685094	DS20
WASP0001063	578	4378	5664	2310	9.79930795847751	DS20
WASP0001064	1619	12184	14638	5988	9.041383570105	DS20
WASP0001065	790	6009	7564	3181	9.5746835443038	DS20
WASP0001066	1019	7979	9534	3547	9.35623159960746	DS20
WASP0001067	521	3790	4708	1935	9.03646833013436	DS20
WASP0001068	401	3096	3681	1412	9.17955112219451	DS20
WASP0001069	3249	22430	29069	12372	8.94706063404124	DS20
WASP0001070	1116	9151	11023	4247	9.87724014336917	DS20
WASP0001071	768	6246	7016	2709	9.13541666666667	DS20
WASP0001072	856	6391	8249	3563	9.63668224299065	DS20
WASP0001073	262	2509	2665	937	10.1717557251908	DS20
WASP0001074	503	4128	4698	1782	9.33996023856859	DS20
WASP0001076	425	3871	3977	1477	9.35764705882353	DS20
WASP0001077	411	3140	3791	1537	9.22384428223844	DS20
WASP0001078	947	7871	9290	3586	9.80992608236537	DS20
WASP0001079	689	5168	6782	2919	9.84325108853411	DS20
WASP0001080	441	3197	4074	1755	9.23809523809524	DS20
WASP0001081	685	4960	6417	2829	9.36788321167883	DS20
WASP0001082	624	4816	5456	1876	8.74358974358974	DS20
WASP0001084	247	2239	2211	714	8.95141700404858	DS20
WASP0001085	610	4589	5852	2345	9.59344262295082	DS20
WASP0001086	465	3015	4012	1736	8.62795698924731	DS20
WASP0001087	277	1825	2573	1125	9.28880866425993	DS20
WASP0001088	476	3798	4384	1748	9.21008403361344	DS20
WASP0001090	1128	7853	10629	4275	9.42287234042553	DS20
WASP0001091	1336	9280	12694	5476	9.50149700598802	DS20
WASP0001092	1153	8258	10085	3901	8.74674761491761	DS20
WASP0001093	279	1978	2171	783	7.78136200716846	DS20
WASP0001094	812	5989	7440	2990	9.16256157635468	DS20
WASP0001095	552	3913	5203	2249	9.42572463768116	DS20
WASP0001096	266	2272	2607	969	9.80075187969925	DS20
WASP0001097	1375	9276	12095	5292	8.79636363636364	DS20
WASP0001098	2272	17929	21181	8829	9.32262323943662	DS20
WASP0001099	191	1389	1725	740	9.03141361256544	DS20
WASP0001100	311	1957	2337	926	7.51446945337621	DS20
WASP0001101	154	1057	1318	555	8.55844155844156	DS20
WASP0001102	213	1797	1909	652	8.96244131455399	DS20
WASP0001103	174	1144	1403	539	8.0632183908046	DS20
WASP0001105	1226	8798	11736	5129	9.57259380097879	DS20
WASP0001106	891	6693	8354	3405	9.37598204264871	DS20
WASP0001107	1292	11641	12839	4845	9.93730650154799	DS20
WASP0001108	2422	16806	21569	9119	8.90545004128819	DS20
WASP0001109	543	5056	5589	1950	10.292817679558	DS20
WASP0001112	1982	13068	18370	8040	9.26841574167508	DS20
WASP0001113	505	3946	4694	1985	9.29504950495049	DS20
WASP0001114	866	6669	7902	3085	9.12471131639723	DS20
WASP0001116	704	6253	7073	2942	10.046875	DS20
WASP0001117	658	4340	6047	2722	9.18996960486322	DS20
WASP0001118	868	7308	8290	3020	9.55069124423963	DS20
WASP0001119	471	4709	4812	1418	10.2165605095541	DS20
WASP0001120	1565	11864	15221	6249	9.7258785942492	DS20
WASP0001121	193	1542	1527	531	7.9119170984456	DS20
WASP0001122	3037	21846	27700	11813	9.12084293710899	DS20
WASP0001123	343	3071	3188	1094	9.29446064139942	DS20
WASP0001124	319	2074	2832	1171	8.87774294670846	DS20
WASP0001125	558	3827	5052	2193	9.05376344086022	DS20
WASP0001126	1450	13167	14433	5568	9.95379310344828	DS20
WASP0001127	369	2514	3237	1485	8.77235772357724	DS20
WASP0001128	35	213	124	52	3.54285714285714	DS20
WASP0001130	1023	11189	11512	3894	11.2531769305963	DS20
WASP0001131	255	1766	2057	875	8.06666666666667	DS20
WASP0001133	1779	20418	18426	5935	10.3575042158516	DS20
WASP0001134	322	2644	3135	1219	9.7360248447205	DS20
WASP0001136	715	5100	6319	2794	8.83776223776224	DS20
WASP0001138	536	4651	4952	1795	9.23880597014925	DS20
WASP0001139	301	2096	2815	1115	9.35215946843854	DS20
WASP0001141	2039	17693	19238	7546	9.4350171652771	DS20
WASP0001142	1906	14117	17068	7399	8.95487932843652	DS20
WASP0001143	1014	7485	9839	4153	9.70315581854043	DS20
WASP0001144	1131	8557	10481	4354	9.26702033598585	DS20
WASP0001145	504	3792	4721	2063	9.36706349206349	DS20
WASP0001146	364	3093	3283	1262	9.01923076923077	DS20
