cell	UMI_per_cell	total_reads_per_cell	mapped_reads_per_cell	gene_mapped	mapped_reads_per_UMI	sample
WASP0001001	185	580	706	315	3.81621621621622	DS05
WASP0001002	474	1410	1866	811	3.93670886075949	DS05
WASP0001003	752	2923	3310	1310	4.40159574468085	DS05
WASP0001004	8	21	9	3	1.125	DS05
WASP0001005	239	766	862	366	3.60669456066946	DS05
WASP0001007	803	2396	3227	1433	4.0186799501868	DS05
WASP0001008	407	1546	1679	642	4.12530712530713	DS05
WASP0001009	10	27	35	13	3.5	DS05
WASP0001010	661	2097	2645	1091	4.00151285930408	DS05
WASP0001011	369	1057	1415	618	3.83468834688347	DS05
WASP0001014	293	800	1138	534	3.8839590443686	DS05
WASP0001015	456	1346	1744	747	3.82456140350877	DS05
WASP0001016	310	935	1207	505	3.89354838709677	DS05
WASP0001017	397	1369	1575	642	3.96725440806045	DS05
WASP0001018	121	394	414	180	3.42148760330579	DS05
WASP0001019	304	866	1133	472	3.72697368421053	DS05
WASP0001020	885	2676	3321	1468	3.75254237288136	DS05
WASP0001021	171	646	669	267	3.91228070175439	DS05
WASP0001022	461	1587	1847	775	4.00650759219089	DS05
WASP0001024	1146	3531	4643	2024	4.05148342059337	DS05
WASP0001028	993	3021	4040	1782	4.06847935548842	DS05
WASP0001030	314	984	1288	572	4.10191082802548	DS05
WASP0001031	996	3373	4253	1722	4.27008032128514	DS05
WASP0001032	818	2651	3258	1374	3.98288508557457	DS05
WASP0001033	963	2643	3715	1674	3.85773624091381	DS05
WASP0001034	173	759	788	268	4.55491329479769	DS05
WASP0001035	409	1252	1513	655	3.69926650366748	DS05
WASP0001036	208	730	861	351	4.13942307692308	DS05
WASP0001037	966	2702	3794	1745	3.92753623188406	DS05
WASP0001038	486	1499	1874	837	3.8559670781893	DS05
WASP0001039	1027	2893	4176	1880	4.06621226874391	DS05
WASP0001040	411	1115	1546	707	3.76155717761557	DS05
WASP0001041	431	1413	1729	753	4.01160092807425	DS05
WASP0001042	896	2834	3586	1503	4.00223214285714	DS05
WASP0001043	146	679	719	220	4.92465753424658	DS05
WASP0001044	300	977	1238	527	4.12666666666667	DS05
WASP0001045	1520	5042	6257	2598	4.11644736842105	DS05
WASP0001047	84	320	403	144	4.79761904761905	DS05
WASP0001048	1498	3886	5731	2659	3.82576769025367	DS05
WASP0001049	1000	4008	4209	1665	4.209	DS05
WASP0001050	195	643	798	329	4.09230769230769	DS05
WASP0001054	1901	5304	7640	3429	4.0189374013677	DS05
WASP0001055	409	1114	1615	747	3.94865525672372	DS05
WASP0001056	282	791	1115	503	3.95390070921986	DS05
WASP0001058	189	510	740	334	3.91534391534392	DS05
WASP0001059	190	805	873	314	4.59473684210526	DS05
WASP0001060	191	538	629	279	3.29319371727749	DS05
WASP0001061	238	761	1002	410	4.21008403361345	DS05
WASP0001062	889	2519	3292	1447	3.70303712035996	DS05
WASP0001063	363	1133	1483	649	4.08539944903581	DS05
WASP0001064	971	2964	3804	1615	3.91761071060762	DS05
WASP0001065	488	1549	1910	826	3.91393442622951	DS05
WASP0001066	622	2034	2517	1002	4.04662379421222	DS05
WASP0001067	314	946	1258	541	4.00636942675159	DS05
WASP0001068	237	737	961	395	4.05485232067511	DS05
WASP0001069	1949	5641	7494	3277	3.8450487429451	DS05
WASP0001070	662	2274	2898	1193	4.37764350453172	DS05
WASP0001071	465	1593	1785	739	3.83870967741936	DS05
WASP0001072	515	1580	2079	919	4.0368932038835	DS05
WASP0001073	171	674	742	279	4.33918128654971	DS05
WASP0001074	305	1020	1155	470	3.78688524590164	DS05
WASP0001076	234	952	1002	398	4.28205128205128	DS05
WASP0001077	246	770	985	424	4.00406504065041	DS05
WASP0001078	575	2035	2464	1003	4.28521739130435	DS05
WASP0001079	440	1287	1770	797	4.02272727272727	DS05
WASP0001080	293	778	1106	499	3.77474402730375	DS05
WASP0001081	394	1236	1585	716	4.02284263959391	DS05
WASP0001082	355	1191	1452	545	4.09014084507042	DS05
WASP0001084	145	594	591	204	4.07586206896552	DS05
WASP0001085	375	1119	1428	608	3.808	DS05
