gene1	gene2
Spis_XP_022782132_1	Xesp_000358
Spis_XP_022783126_1	Xesp_000797
Spis_XP_022802328_1	Xesp_000983
Spis_20343_1	Xesp_001321
Spis_XP_022804685_1	Xesp_001543
Spis_XP_022780185_1	Xesp_001543
Spis_XP_022810147_1	Xesp_001543
Spis_XP_022808340_1	Xesp_001543
Spis_XP_022793346_1	Xesp_001543
Spis_XP_022808849_1	Xesp_001543
Spis_20343_1	Xesp_001655
Spis_XP_022794362_1	Xesp_002666
Spis_XP_022799694_1	Xesp_002670
Spis_20891_1	Xesp_003214
Spis_XP_022801185_1	Xesp_003318
Spis_XP_022784287_1	Xesp_003389
Spis_XP_022783467_1	Xesp_003453
Spis_XP_022783477_1	Xesp_003472
Spis_XP_022783477_1	Xesp_003476
Spis_XP_022783477_1	Xesp_003479
Spis_20343_1	Xesp_003954
Spis_XP_022780880_1	Xesp_004981
Spis_XP_022802328_1	Xesp_005191
Spis_XP_022807598_1	Xesp_005496
Spis_XP_022793346_1	Xesp_006379
Spis_XP_022808849_1	Xesp_006379
Spis_XP_022804685_1	Xesp_006379
Spis_XP_022780185_1	Xesp_006379
Spis_XP_022810147_1	Xesp_006379
Spis_XP_022808340_1	Xesp_006379
Spis_XP_022808340_1	Xesp_006528
Spis_XP_022804685_1	Xesp_006528
Spis_XP_022793346_1	Xesp_006528
Spis_XP_022808849_1	Xesp_006528
Spis_XP_022810147_1	Xesp_006528
Spis_XP_022780185_1	Xesp_006528
Spis_XP_022800416_1	Xesp_006872
Spis_XP_022782802_1	Xesp_007789
Spis_XP_022782802_1	Xesp_007793
Spis_XP_022782802_1	Xesp_008060
Spis_XP_022781876_1	Xesp_008262
Spis_XP_022806502_1	Xesp_008485
Spis_XP_022806502_1	Xesp_008487
Spis_XP_022806502_1	Xesp_008488
Spis_XP_022786173_1	Xesp_008617
Spis_20343_1	Xesp_008743
Spis_XP_022802328_1	Xesp_009488
Spis_XP_022802328_1	Xesp_009491
Spis_XP_022802328_1	Xesp_009492
Spis_XP_022802328_1	Xesp_009499
Spis_XP_022802328_1	Xesp_009500
Spis_XP_022782638_1	Xesp_009525
Spis_XP_022783279_1	Xesp_011783
Spis_XP_022781876_1	Xesp_011837
Spis_XP_022777808_1	Xesp_012273
Spis_XP_022791011_1	Xesp_012490
Spis_XP_022794681_1	Xesp_013947
Spis_XP_022806060_1	Xesp_014248
Spis_XP_022800137_1	Xesp_015821
Spis_XP_022800695_1	Xesp_016155
Spis_XP_022798377_1	Xesp_017090
Spis_XP_022798373_1	Xesp_017090
Spis_XP_022798368_1	Xesp_017090
Spis_20343_1	Xesp_017487
Spis_20343_1	Xesp_018717
Spis_XP_022802328_1	Xesp_018956
Spis_XP_022784029_1	Xesp_020154
Spis_XP_022784029_1	Xesp_020168
Spis_XP_022784029_1	Xesp_020181
Spis_XP_022784029_1	Xesp_020206
Spis_XP_022784029_1	Xesp_020208
Spis_XP_022784029_1	Xesp_020210
Spis_XP_022810631_1	Xesp_020222
Spis_XP_022784029_1	Xesp_020236
Spis_XP_022784029_1	Xesp_020239
Spis_XP_022784029_1	Xesp_020240
Spis_XP_022784029_1	Xesp_020246
Spis_XP_022784029_1	Xesp_020252
Spis_XP_022784029_1	Xesp_020287
Spis_XP_022784029_1	Xesp_020305
Spis_XP_022784029_1	Xesp_020308
Spis_XP_022784029_1	Xesp_020804
Spis_XP_022784029_1	Xesp_020808
Spis_XP_022784029_1	Xesp_020809
Spis_XP_022784029_1	Xesp_020818
Spis_XP_022805803_1	Xesp_021734
Spis_5933_1	Xesp_021734
Spis_XP_022807320_1	Xesp_021834
Spis_XP_022789920_1	Xesp_022000
Spis_XP_022789920_1	Xesp_022001
Spis_XP_022798373_1	Xesp_022099
Spis_XP_022798377_1	Xesp_022099
Spis_XP_022798368_1	Xesp_022099
Spis_XP_022798373_1	Xesp_022100
Spis_XP_022798377_1	Xesp_022100
Spis_XP_022798368_1	Xesp_022100
Spis_XP_022798368_1	Xesp_022106
Spis_XP_022798373_1	Xesp_022106
Spis_XP_022798377_1	Xesp_022106
Spis_XP_022798373_1	Xesp_022116
Spis_XP_022798368_1	Xesp_022116
Spis_XP_022798377_1	Xesp_022116
Spis_XP_022798377_1	Xesp_022121
Spis_XP_022798373_1	Xesp_022121
Spis_XP_022798368_1	Xesp_022121
Spis_XP_022792891_1	Xesp_022137
Spis_XP_022784029_1	Xesp_022675
Spis_20891_1	Xesp_022685
Spis_XP_022800416_1	Xesp_023750
Spis_XP_022800416_1	Xesp_026096
Spis_20343_1	Xesp_026115
Spis_20343_1	Xesp_026148
Spis_20343_1	Xesp_026457
Spis_20343_1	Xesp_026680
Spis_XP_022784029_1	Xesp_027479
Spis_20343_1	Xesp_028442
Spis_XP_022802328_1	Xesp_028595
Spis_XP_022802328_1	Xesp_028652
Spis_XP_022802328_1	Xesp_028688
Spis_20717_1	Xesp_025898
Spis_20717_1	Xesp_024542
Spis_20717_1	Xesp_024523
Spis_20717_1	Xesp_027487
Spis_20717_1	Xesp_025573
Spis_20717_1	Xesp_029139
Spis_23219_1	Xesp_018372
Spis_23219_1	Xesp_022978
Spis_23219_1	Xesp_027001
Spis_25774_1	Xesp_015699
Spis_4284_1	Xesp_026196
Spis_4284_1	Xesp_010475
Spis_6578_1	Xesp_010384
Spis_932_1	Xesp_011011
Spis_XP_022777924_1	Xesp_022978
Spis_XP_022777924_1	Xesp_027001
Spis_XP_022777924_1	Xesp_018372
Spis_XP_022778527_1	Xesp_023065
Spis_XP_022779056_1	Xesp_013795
Spis_XP_022779108_1	Xesp_014203
Spis_XP_022779116_1	Xesp_014272
Spis_XP_022779131_1	Xesp_014795
Spis_XP_022779135_1	Xesp_014789
Spis_XP_022779139_1	Xesp_003082
Spis_XP_022779249_1	Xesp_016487
Spis_XP_022779261_1	Xesp_009812
Spis_XP_022779320_1	Xesp_009809
Spis_XP_022779365_1	Xesp_013887
Spis_XP_022779410_1	Xesp_013881
Spis_XP_022779440_1	Xesp_013714
Spis_XP_022779483_1	Xesp_011953
Spis_XP_022779957_1	Xesp_023462
Spis_XP_022779957_1	Xesp_023672
Spis_XP_022779978_1	Xesp_023137
Spis_XP_022780139_1	Xesp_014494
Spis_XP_022780223_1	Xesp_002364
Spis_XP_022780323_1	Xesp_018640
Spis_XP_022780370_1	Xesp_003137
Spis_XP_022780380_1	Xesp_001887
Spis_XP_022780383_1	Xesp_003054
Spis_XP_022780388_1	Xesp_003131
Spis_XP_022780405_1	Xesp_002094
Spis_XP_022780413_1	Xesp_003050
Spis_XP_022780438_1	Xesp_003167
Spis_XP_022780476_1	Xesp_002945
Spis_XP_022780618_1	Xesp_004094
Spis_XP_022780929_1	Xesp_022738
Spis_XP_022780982_1	Xesp_008077
Spis_XP_022781073_1	Xesp_005271
Spis_XP_022781105_1	Xesp_014082
Spis_XP_022781270_1	Xesp_014928
Spis_XP_022781366_1	Xesp_011272
Spis_XP_022781377_1	Xesp_011610
Spis_XP_022781399_1	Xesp_018653
Spis_XP_022781401_1	Xesp_018653
Spis_XP_022781408_1	Xesp_002337
Spis_XP_022781408_1	Xesp_003152
Spis_XP_022781574_1	Xesp_013524
Spis_XP_022781738_1	Xesp_003152
Spis_XP_022781738_1	Xesp_002337
Spis_XP_022781875_1	Xesp_002138
Spis_XP_022781877_1	Xesp_007990
Spis_XP_022781941_1	Xesp_026019
Spis_XP_022781945_1	Xesp_026022
Spis_XP_022782085_1	Xesp_000356
Spis_XP_022782200_1	Xesp_011851
Spis_XP_022782301_1	Xesp_018411
Spis_XP_022782369_1	Xesp_018559
Spis_XP_022782449_1	Xesp_021425
Spis_XP_022782518_1	Xesp_009992
Spis_XP_022782699_1	Xesp_009988
Spis_XP_022782833_1	Xesp_008246
Spis_XP_022782910_1	Xesp_012798
Spis_XP_022782912_1	Xesp_013044
Spis_XP_022782913_1	Xesp_013039
Spis_XP_022782914_1	Xesp_013038
Spis_XP_022782991_1	Xesp_004967
Spis_XP_022783136_1	Xesp_000794
Spis_XP_022783189_1	Xesp_010637
Spis_XP_022783463_1	Xesp_012663
Spis_XP_022783470_1	Xesp_000304
Spis_XP_022783470_1	Xesp_003441
Spis_XP_022783471_1	Xesp_000304
Spis_XP_022783471_1	Xesp_003441
Spis_XP_022783488_1	Xesp_000304
Spis_XP_022783488_1	Xesp_003441
Spis_XP_022783489_1	Xesp_000304
Spis_XP_022783489_1	Xesp_003441
Spis_XP_022783510_1	Xesp_003441
Spis_XP_022783510_1	Xesp_000304
Spis_XP_022783718_1	Xesp_003092
Spis_XP_022783856_1	Xesp_008336
Spis_XP_022783919_1	Xesp_015765
Spis_XP_022784019_1	Xesp_002163
Spis_XP_022784094_1	Xesp_018571
Spis_XP_022784179_1	Xesp_018035
Spis_XP_022784370_1	Xesp_012212
Spis_XP_022784581_1	Xesp_003487
Spis_XP_022784688_1	Xesp_013872
Spis_XP_022784943_1	Xesp_014382
Spis_XP_022784944_1	Xesp_024220
Spis_XP_022785023_1	Xesp_017416
Spis_XP_022785023_1	Xesp_023878
Spis_XP_022785023_1	Xesp_022438
Spis_XP_022785023_1	Xesp_017429
Spis_XP_022785137_1	Xesp_022224
Spis_XP_022785200_1	Xesp_022225
Spis_XP_022785382_1	Xesp_002309
Spis_XP_022785504_1	Xesp_002309
Spis_XP_022785508_1	Xesp_010384
Spis_XP_022785521_1	Xesp_010536
Spis_XP_022785666_1	Xesp_024463
Spis_XP_022785671_1	Xesp_027990
Spis_XP_022785885_1	Xesp_025608
Spis_XP_022785885_1	Xesp_005493
Spis_XP_022785921_1	Xesp_014349
Spis_XP_022786148_1	Xesp_008639
Spis_XP_022786402_1	Xesp_007812
Spis_XP_022786405_1	Xesp_007812
Spis_XP_022786406_1	Xesp_007812
Spis_XP_022786436_1	Xesp_007812
Spis_XP_022786519_1	Xesp_008513
Spis_XP_022786538_1	Xesp_008457
Spis_XP_022786543_1	Xesp_008131
Spis_XP_022786748_1	Xesp_016059
Spis_XP_022786844_1	Xesp_015766
Spis_XP_022786881_1	Xesp_008335
Spis_XP_022787232_1	Xesp_015766
Spis_XP_022787484_1	Xesp_009253
Spis_XP_022787493_1	Xesp_011318
Spis_XP_022787524_1	Xesp_021826
Spis_XP_022787555_1	Xesp_022027
Spis_XP_022787555_1	Xesp_022026
Spis_XP_022787726_1	Xesp_016468
Spis_XP_022787902_1	Xesp_008393
Spis_XP_022787902_1	Xesp_021975
Spis_XP_022787983_1	Xesp_015984
Spis_XP_022788032_1	Xesp_012125
Spis_XP_022788130_1	Xesp_003067
Spis_XP_022788158_1	Xesp_002437
