gene1	gene2
Xesp_007816	Hvul_g10379_1
Xesp_008140	Hvul_g10457_1
Xesp_014349	Hvul_g10536_1
Xesp_022027	Hvul_g11764_1
Xesp_022026	Hvul_g11764_1
Xesp_003476	Hvul_g12887_1
Xesp_003479	Hvul_g12887_1
Xesp_003472	Hvul_g12887_1
Xesp_007398	Hvul_g13626_1
Xesp_000933	Hvul_g15090_1
Xesp_022183	Hvul_g15158_1
Xesp_011517	Hvul_g1518_1
Xesp_021155	Hvul_g15501_1
Xesp_006263	Hvul_g15501_1
Xesp_024217	Hvul_g16165_1
Xesp_009992	Hvul_g16491_1
Xesp_018002	Hvul_g16708_1
Xesp_003175	Hvul_g16795_1
Xesp_008140	Hvul_g1836_1
Xesp_002737	Hvul_g18364_1
Xesp_008140	Hvul_g1843_1
Xesp_008140	Hvul_g1850_1
Xesp_008140	Hvul_g1858_1
Xesp_002190	Hvul_g1924_1
Xesp_021642	Hvul_g19261_1
Xesp_011218	Hvul_g19602_1
Xesp_022075	Hvul_g1976_1
Xesp_016510	Hvul_g21201_1
Xesp_007990	Hvul_g21489_1
Xesp_005359	Hvul_g23187_1
Xesp_002871	Hvul_g2419_1
Xesp_002547	Hvul_g2461_1
Xesp_011318	Hvul_g24952_1
Xesp_012559	Hvul_g25646_1
Xesp_018002	Hvul_g26052_1
Xesp_007990	Hvul_g26585_1
Xesp_016539	Hvul_g28606_1
Xesp_018002	Hvul_g29552_1
Xesp_006617	Hvul_g30331_1
Xesp_016134	Hvul_g30476_1
Xesp_003453	Hvul_g3060_1
Xesp_003936	Hvul_g3075_1
Xesp_006617	Hvul_g31605_1
Xesp_011617	Hvul_g31632_1
Xesp_011879	Hvul_g32290_1
Xesp_022027	Hvul_g32304_1
Xesp_022026	Hvul_g32304_1
Xesp_002329	Hvul_g32465_1
Xesp_021673	Hvul_g32638_1
Xesp_021674	Hvul_g32638_1
Xesp_010658	Hvul_g33493_1
Xesp_021673	Hvul_g33538_1
Xesp_021674	Hvul_g33538_1
Xesp_016155	Hvul_g33646_1
Xesp_022167	Hvul_g4301_1
Xesp_008597	Hvul_g4822_1
Xesp_022027	Hvul_g5577_1
Xesp_022026	Hvul_g5577_1
Xesp_022026	Hvul_g5578_1
Xesp_022027	Hvul_g5578_1
Xesp_012559	Hvul_g6887_1
Xesp_008140	Hvul_g7008_1
Xesp_021414	Hvul_g7632_1
Xesp_008255	Hvul_g8514_1
Xesp_021545	Hvul_g9205_1
Xesp_028387	Hvul_g9667_1
Xesp_028458	Hvul_g9667_1
Xesp_028417	Hvul_g9667_1
Xesp_028122	Hvul_g9667_1
Xesp_028085	Hvul_g9667_1
Xesp_000358	Hvul_g17406_1
Xesp_000627	Hvul_g24787_1
Xesp_000655	Hvul_g24787_1
Xesp_000712	Hvul_g5898_1
Xesp_000712	Hvul_g5901_1
Xesp_000712	Hvul_g5900_1
Xesp_000794	Hvul_g29636_1
Xesp_000896	Hvul_g5879_1
Xesp_000958	Hvul_g21693_1
Xesp_001055	Hvul_g1988_1
Xesp_001085	Hvul_g9841_1
Xesp_001089	Hvul_g18841_1
Xesp_001205	Hvul_g25127_1
Xesp_001219	Hvul_g22120_1
Xesp_001222	Hvul_g22120_1
Xesp_001376	Hvul_g9175_1
Xesp_001376	Hvul_g29121_1
Xesp_001376	Hvul_g10169_1
Xesp_001768	Hvul_g20637_1
Xesp_001821	Hvul_g25384_1
Xesp_001886	Hvul_g16700_1
Xesp_001887	Hvul_g18227_1
Xesp_002094	Hvul_g3222_1
Xesp_002094	Hvul_g3228_1
Xesp_002138	Hvul_g7038_1
Xesp_002163	Hvul_g16688_1
Xesp_002409	Hvul_g27364_1
Xesp_002437	Hvul_g6718_1
Xesp_002466	Hvul_g2490_1
Xesp_002467	Hvul_g8553_1
Xesp_002668	Hvul_g26087_1
Xesp_003050	Hvul_g12217_1
Xesp_003054	Hvul_g23428_1
Xesp_003067	Hvul_g31652_1
Xesp_003082	Hvul_g15881_1
Xesp_003091	Hvul_g28449_1
Xesp_003092	Hvul_g28449_1
Xesp_003137	Hvul_g5062_1
Xesp_003167	Hvul_g30963_1
Xesp_003318	Hvul_g26133_1
Xesp_003371	Hvul_g16442_1
Xesp_003399	Hvul_g22673_1
Xesp_003586	Hvul_g27479_1
Xesp_003697	Hvul_g9175_1
Xesp_003697	Hvul_g10169_1
Xesp_003697	Hvul_g29121_1
Xesp_004215	Hvul_g12439_1
Xesp_004215	Hvul_g12434_1
Xesp_004215	Hvul_g12442_1
Xesp_004215	Hvul_g12447_1
Xesp_004215	Hvul_g12436_1
Xesp_004216	Hvul_g12447_1
Xesp_004216	Hvul_g12439_1
Xesp_004216	Hvul_g12434_1
Xesp_004216	Hvul_g12442_1
Xesp_004216	Hvul_g12436_1
Xesp_004217	Hvul_g12439_1
Xesp_004217	Hvul_g12434_1
Xesp_004217	Hvul_g12447_1
Xesp_004217	Hvul_g12436_1
Xesp_004217	Hvul_g12442_1
Xesp_004218	Hvul_g12439_1
Xesp_004218	Hvul_g12442_1
Xesp_004218	Hvul_g12436_1
Xesp_004218	Hvul_g12447_1
Xesp_004218	Hvul_g12434_1
Xesp_004219	Hvul_g12447_1
Xesp_004219	Hvul_g12439_1
Xesp_004219	Hvul_g12442_1
Xesp_004219	Hvul_g12434_1
Xesp_004219	Hvul_g12436_1
Xesp_004220	Hvul_g12434_1
Xesp_004220	Hvul_g12439_1
Xesp_004220	Hvul_g12442_1
Xesp_004220	Hvul_g12447_1
Xesp_004220	Hvul_g12436_1
Xesp_004221	Hvul_g12442_1
Xesp_004221	Hvul_g12436_1
Xesp_004221	Hvul_g12434_1
Xesp_004221	Hvul_g12447_1
Xesp_004221	Hvul_g12439_1
Xesp_004222	Hvul_g12434_1
Xesp_004222	Hvul_g12447_1
Xesp_004222	Hvul_g12442_1
Xesp_004222	Hvul_g12439_1
Xesp_004222	Hvul_g12436_1
Xesp_004250	Hvul_g12447_1
Xesp_004250	Hvul_g12439_1
Xesp_004250	Hvul_g12442_1
Xesp_004250	Hvul_g12434_1
Xesp_004250	Hvul_g12436_1
Xesp_004344	Hvul_g12436_1
Xesp_004344	Hvul_g12439_1
Xesp_004344	Hvul_g12447_1
Xesp_004344	Hvul_g12442_1
Xesp_004344	Hvul_g12434_1
Xesp_004345	Hvul_g12442_1
Xesp_004345	Hvul_g12436_1
Xesp_004345	Hvul_g12434_1
Xesp_004345	Hvul_g12447_1
Xesp_004345	Hvul_g12439_1
Xesp_004346	Hvul_g12447_1
Xesp_004346	Hvul_g12442_1
Xesp_004346	Hvul_g12436_1
Xesp_004346	Hvul_g12434_1
Xesp_004346	Hvul_g12439_1
Xesp_004347	Hvul_g12436_1
Xesp_004347	Hvul_g12447_1
Xesp_004347	Hvul_g12434_1
Xesp_004347	Hvul_g12439_1
