gene1	gene2
Nvec_v1g96414	Xesp_000358
Nvec_v1g233208	Xesp_000498
Nvec_v1g221490	Xesp_000498
Nvec_v1g90352	Xesp_000797
Nvec_v1g19204	Xesp_002466
Nvec_v1g120156	Xesp_002467
Nvec_v1g247202	Xesp_002666
Nvec_v1g114346	Xesp_003371
Nvec_v1g49810	Xesp_003389
Nvec_v1g10765	Xesp_003453
Nvec_v1g120503	Xesp_003472
Nvec_v1g120503	Xesp_003476
Nvec_v1g120503	Xesp_003479
Nvec_v1g59568	Xesp_004658
Nvec_v1g39924	Xesp_004967
Nvec_v1g242923	Xesp_004981
Nvec_v1g29874	Xesp_007094
Nvec_v1g49015	Xesp_008262
Nvec_v1g48953	Xesp_008262
Nvec_v1g118178	Xesp_008336
Nvec_v1g222302	Xesp_008485
Nvec_v1g137233	Xesp_008485
Nvec_v1g137233	Xesp_008487
Nvec_v1g222302	Xesp_008487
Nvec_v1g137233	Xesp_008488
Nvec_v1g222302	Xesp_008488
Nvec_v1g141592	Xesp_008617
Nvec_v1g128302	Xesp_010186
Nvec_v1g169225	Xesp_011440
Nvec_v1g221490	Xesp_011687
Nvec_v1g233208	Xesp_011687
Nvec_v1g203375	Xesp_011783
Nvec_v1g48953	Xesp_011837
Nvec_v1g49015	Xesp_011837
Nvec_v1g232694	Xesp_012100
Nvec_v1g67043	Xesp_012614
Nvec_v1g39891	Xesp_013947
Nvec_v1g239535	Xesp_014248
Nvec_v1g220612	Xesp_014781
Nvec_v1g43460	Xesp_015821
Nvec_v1g185184	Xesp_016155
Nvec_v1g118122	Xesp_016503
Nvec_v1g80394	Xesp_017090
Nvec_v1g80927	Xesp_017090
Nvec_v1g105520	Xesp_020154
Nvec_v1g105520	Xesp_020168
Nvec_v1g105520	Xesp_020181
Nvec_v1g105520	Xesp_020206
Nvec_v1g105520	Xesp_020208
Nvec_v1g105520	Xesp_020210
Nvec_v1g105520	Xesp_020236
Nvec_v1g105520	Xesp_020239
Nvec_v1g105520	Xesp_020240
Nvec_v1g105520	Xesp_020246
Nvec_v1g105520	Xesp_020252
Nvec_v1g105520	Xesp_020287
Nvec_v1g105520	Xesp_020305
Nvec_v1g105520	Xesp_020308
Nvec_v1g131609	Xesp_020583
Nvec_v1g105520	Xesp_020804
Nvec_v1g105520	Xesp_020808
Nvec_v1g105520	Xesp_020809
Nvec_v1g105520	Xesp_020818
Nvec_v1g80696	Xesp_021834
Nvec_v1g165261	Xesp_022000
Nvec_v1g165261	Xesp_022001
Nvec_v1g80927	Xesp_022099
Nvec_v1g80394	Xesp_022099
Nvec_v1g80394	Xesp_022100
Nvec_v1g80927	Xesp_022100
Nvec_v1g80394	Xesp_022106
Nvec_v1g80927	Xesp_022106
Nvec_v1g80394	Xesp_022116
Nvec_v1g80927	Xesp_022116
Nvec_v1g80927	Xesp_022121
Nvec_v1g80394	Xesp_022121
Nvec_v1g177453	Xesp_022137
Nvec_v1g105520	Xesp_022675
Nvec_v1g105520	Xesp_027479
Nvec_NVE1028	Xesp_010516
Nvec_NVE10331	Xesp_014789
Nvec_NVE12610	Xesp_022388
Nvec_NVE13315	Xesp_016539
Nvec_NVE13317	Xesp_016510
Nvec_NVE21127	Xesp_003152
Nvec_NVE21127	Xesp_002337
Nvec_NVE23841	Xesp_021642
Nvec_NVE2910	Xesp_009607
Nvec_NVE3568	Xesp_011318
Nvec_NVE6790	Xesp_001125
Nvec_NVE6790	Xesp_001073
Nvec_NVE695	Xesp_017036
Nvec_NVE695	Xesp_024112
Nvec_NVE695	Xesp_007504
Nvec_NVE7615	Xesp_003442
Nvec_NVE7615	Xesp_000303
Nvec_NVE9848	Xesp_001073
Nvec_NVE9848	Xesp_001125
Nvec_v1g100372	Xesp_000958
Nvec_v1g100892	Xesp_009987
Nvec_v1g101611	Xesp_009184
Nvec_v1g101676	Xesp_008393
Nvec_v1g101676	Xesp_021975
Nvec_v1g101730	Xesp_009184
Nvec_v1g101740	Xesp_009187
Nvec_v1g102530	Xesp_004512
Nvec_v1g103200	Xesp_014932
Nvec_v1g104083	Xesp_012900
Nvec_v1g104131	Xesp_028607
Nvec_v1g104131	Xesp_012641
Nvec_v1g104131	Xesp_028762
Nvec_v1g104131	Xesp_028371
Nvec_v1g104131	Xesp_028297
Nvec_v1g104131	Xesp_023824
Nvec_v1g104726	Xesp_011851
Nvec_v1g104857	Xesp_011976
Nvec_v1g105055	Xesp_008206
Nvec_v1g105457	Xesp_020667
Nvec_v1g106305	Xesp_008424
Nvec_v1g107193	Xesp_014303
Nvec_v1g107461	Xesp_020501
Nvec_v1g108724	Xesp_014336
Nvec_v1g108851	Xesp_014013
Nvec_v1g109857	Xesp_004478
Nvec_v1g110153	Xesp_020969
Nvec_v1g110212	Xesp_002945
Nvec_v1g110404	Xesp_022304
Nvec_v1g110792	Xesp_014791
Nvec_v1g110858	Xesp_014795
Nvec_v1g11096	Xesp_001886
Nvec_v1g111410	Xesp_008513
Nvec_v1g112757	Xesp_003152
Nvec_v1g112757	Xesp_002337
Nvec_v1g112786	Xesp_010536
Nvec_v1g112929	Xesp_010814
Nvec_v1g112929	Xesp_010298
Nvec_v1g113757	Xesp_008102
Nvec_v1g114480	Xesp_014806
Nvec_v1g114579	Xesp_011742
Nvec_v1g115110	Xesp_014272
Nvec_v1g115913	Xesp_013188
Nvec_v1g116293	Xesp_009901
Nvec_v1g116463	Xesp_009877
Nvec_v1g116698	Xesp_002329
Nvec_v1g117688	Xesp_013549
Nvec_v1g117688	Xesp_013545
Nvec_v1g117718	Xesp_013885
Nvec_v1g118347	Xesp_013856
Nvec_v1g118750	Xesp_011876
Nvec_v1g118896	Xesp_022606
Nvec_v1g118896	Xesp_022647
Nvec_v1g118896	Xesp_005274
Nvec_v1g118896	Xesp_003756
Nvec_v1g119149	Xesp_002309
Nvec_v1g119152	Xesp_002309
Nvec_v1g119550	Xesp_008195
Nvec_v1g119733	Xesp_011953
Nvec_v1g120142	Xesp_012663
Nvec_v1g121204	Xesp_024216
Nvec_v1g121215	Xesp_024220
Nvec_v1g121294	Xesp_014382
Nvec_v1g121754	Xesp_021632
Nvec_v1g121827	Xesp_021847
Nvec_v1g121827	Xesp_021848
Nvec_v1g121842	Xesp_021848
Nvec_v1g121842	Xesp_021847
Nvec_v1g121965	Xesp_012273
Nvec_v1g122107	Xesp_001768
Nvec_v1g122918	Xesp_014203
Nvec_v1g123077	Xesp_023065
Nvec_v1g123903	Xesp_018653
Nvec_v1g124291	Xesp_005744
Nvec_v1g124737	Xesp_024112
Nvec_v1g124737	Xesp_007504
Nvec_v1g124737	Xesp_017036
Nvec_v1g125256	Xesp_003090
Nvec_v1g125309	Xesp_002163
Nvec_v1g125496	Xesp_016487
Nvec_v1g126097	Xesp_002643
Nvec_v1g126214	Xesp_021373
Nvec_v1g127783	Xesp_003487
Nvec_v1g127828	Xesp_016908
Nvec_v1g127828	Xesp_021558
Nvec_v1g127891	Xesp_021558
Nvec_v1g127891	Xesp_016908
Nvec_v1g127893	Xesp_009812
Nvec_v1g127920	Xesp_007403
Nvec_v1g129231	Xesp_011218
Nvec_v1g129257	Xesp_011610
Nvec_v1g129837	Xesp_021478
Nvec_v1g130163	Xesp_008454
Nvec_v1g130873	Xesp_022076
Nvec_v1g132249	Xesp_022807
Nvec_v1g132285	Xesp_024463
Nvec_v1g132332	Xesp_002409
Nvec_v1g134436	Xesp_007799
Nvec_v1g134544	Xesp_002138
Nvec_v1g138693	Xesp_022075
Nvec_v1g13916	Xesp_015765
Nvec_v1g139174	Xesp_013949
Nvec_v1g139976	Xesp_010571
Nvec_v1g141567	Xesp_012486
Nvec_v1g141683	Xesp_002758
Nvec_v1g143620	Xesp_015765
Nvec_v1g147359	Xesp_001055
Nvec_v1g147404	Xesp_014806
Nvec_v1g147760	Xesp_008102
Nvec_v1g148786	Xesp_014795
Nvec_v1g149683	Xesp_014013
Nvec_v1g150519	Xesp_015649
Nvec_v1g152310	Xesp_008393
Nvec_v1g152310	Xesp_021975
Nvec_v1g157078	Xesp_022075
Nvec_v1g160868	Xesp_014082
Nvec_v1g161006	Xesp_003936
Nvec_v1g161808	Xesp_003131
Nvec_v1g162294	Xesp_008246
Nvec_v1g162604	Xesp_001089
Nvec_v1g163545	Xesp_019269
Nvec_v1g164325	Xesp_003441
Nvec_v1g164325	Xesp_000304
Nvec_v1g164599	Xesp_012125
Nvec_v1g164762	Xesp_021853
Nvec_v1g164762	Xesp_021849
Nvec_v1g164975	Xesp_000933
Nvec_v1g164989	Xesp_012798
Nvec_v1g165407	Xesp_008255
Nvec_v1g165603	Xesp_002364
Nvec_v1g165614	Xesp_001887
Nvec_v1g168041	Xesp_020967
Nvec_v1g16815	Xesp_009346
