gene1	gene2
Spis_XP_022784076_1	Hvul_g10027_1
Spis_XP_022799621_1	Hvul_g10457_1
Spis_XP_022805085_1	Hvul_g11764_1
Spis_XP_022806034_1	Hvul_g11764_1
Spis_XP_022787555_1	Hvul_g11764_1
Spis_XP_022783477_1	Hvul_g12887_1
Spis_XP_022789101_1	Hvul_g16795_1
Spis_XP_022782132_1	Hvul_g17406_1
Spis_XP_022799621_1	Hvul_g1836_1
Spis_XP_022799621_1	Hvul_g1843_1
Spis_XP_022799621_1	Hvul_g1850_1
Spis_XP_022799621_1	Hvul_g1858_1
Spis_XP_022781877_1	Hvul_g21489_1
Spis_XP_022784076_1	Hvul_g22386_1
Spis_XP_022784076_1	Hvul_g22397_1
Spis_XP_022781877_1	Hvul_g26585_1
Spis_XP_022805803_1	Hvul_g26866_1
Spis_5933_1	Hvul_g26866_1
Spis_XP_022788893_1	Hvul_g27294_1
Spis_XP_022783279_1	Hvul_g30028_1
Spis_XP_022783467_1	Hvul_g3060_1
Spis_XP_022801164_1	Hvul_g3075_1
Spis_XP_022784076_1	Hvul_g31608_1
Spis_XP_022784076_1	Hvul_g31613_1
Spis_XP_022805085_1	Hvul_g32304_1
Spis_XP_022806034_1	Hvul_g32304_1
Spis_XP_022787555_1	Hvul_g32304_1
Spis_XP_022800695_1	Hvul_g33646_1
Spis_XP_022784029_1	Hvul_g3929_1
Spis_XP_022787555_1	Hvul_g5577_1
Spis_XP_022806034_1	Hvul_g5577_1
Spis_XP_022805085_1	Hvul_g5577_1
Spis_XP_022805085_1	Hvul_g5578_1
Spis_XP_022787555_1	Hvul_g5578_1
Spis_XP_022806034_1	Hvul_g5578_1
Spis_XP_022799621_1	Hvul_g7008_1
Spis_XP_022793362_1	Hvul_g8514_1
Spis_13439_1	Hvul_g20649_1
Spis_13439_1	Hvul_g32396_1
Spis_13439_1	Hvul_g33039_1
Spis_13439_1	Hvul_g15767_1
Spis_13439_1	Hvul_g21174_1
Spis_13439_1	Hvul_g8383_1
