gene1	gene2
Spis_XP_022793432_1	Nvec_NVE3371
Spis_XP_022803267_1	Nvec_v1g100892
Spis_XP_022803981_1	Nvec_v1g101680
Spis_XP_022803993_1	Nvec_v1g101731
Spis_XP_022798698_1	Nvec_v1g101900
Spis_XP_022786203_1	Nvec_v1g106438
Spis_XP_022792055_1	Nvec_v1g108851
Spis_XP_022790570_1	Nvec_v1g112378
Spis_XP_022797975_1	Nvec_v1g112757
Spis_XP_022789456_1	Nvec_v1g118750
Spis_XP_022779483_1	Nvec_v1g119733
Spis_XP_022797058_1	Nvec_v1g120772
Spis_XP_022777808_1	Nvec_v1g121965
Spis_XP_022792175_1	Nvec_v1g123192
Spis_XP_022790523_1	Nvec_v1g123192
Spis_XP_022801846_1	Nvec_v1g125130
Spis_XP_022803289_1	Nvec_v1g125256
Spis_XP_022808057_1	Nvec_v1g126097
Spis_XP_022789887_1	Nvec_v1g130307
Spis_XP_022809767_1	Nvec_v1g132332
Spis_XP_022786197_1	Nvec_v1g136184
Spis_XP_022806502_1	Nvec_v1g137233
Spis_XP_022781736_1	Nvec_v1g138459
Spis_XP_022786173_1	Nvec_v1g141592
Spis_XP_022796939_1	Nvec_v1g147359
Spis_XP_022792055_1	Nvec_v1g149683
Spis_XP_022778864_1	Nvec_v1g154925
Spis_XP_022789887_1	Nvec_v1g157036
Spis_XP_022782910_1	Nvec_v1g164989
Spis_XP_022792814_1	Nvec_v1g171779
Spis_XP_022790572_1	Nvec_v1g182742
Spis_XP_022787484_1	Nvec_v1g200761
Spis_XP_022783505_1	Nvec_v1g204200
Spis_XP_022808340_1	Nvec_v1g209438
Spis_XP_022793346_1	Nvec_v1g209438
Spis_XP_022780185_1	Nvec_v1g209438
Spis_XP_022810147_1	Nvec_v1g209438
Spis_XP_022808849_1	Nvec_v1g209438
Spis_XP_022804685_1	Nvec_v1g209438
Spis_XP_022793346_1	Nvec_v1g218220
Spis_XP_022780185_1	Nvec_v1g218220
Spis_XP_022810147_1	Nvec_v1g218220
Spis_XP_022808340_1	Nvec_v1g218220
Spis_XP_022808849_1	Nvec_v1g218220
Spis_XP_022804685_1	Nvec_v1g218220
Spis_XP_022806502_1	Nvec_v1g222302
Spis_XP_022792814_1	Nvec_v1g222546
Spis_XP_022800322_1	Nvec_v1g229565
Spis_XP_022788323_1	Nvec_v1g236177
Spis_XP_022810505_1	Nvec_v1g238029
Spis_XP_022793346_1	Nvec_v1g240014
Spis_XP_022808340_1	Nvec_v1g240014
Spis_XP_022804685_1	Nvec_v1g240014
Spis_XP_022810147_1	Nvec_v1g240014
Spis_XP_022808849_1	Nvec_v1g240014
Spis_XP_022780185_1	Nvec_v1g240014
Spis_XP_022788165_1	Nvec_v1g242118
Spis_XP_022788165_1	Nvec_v1g242121
Spis_4284_1	Nvec_v1g247105
Spis_XP_022791696_1	Nvec_v1g247105
Spis_XP_022791842_1	Nvec_v1g27862
Spis_XP_022785200_1	Nvec_v1g28237
Spis_XP_022804749_1	Nvec_v1g29762
Spis_XP_022791280_1	Nvec_v1g29965
Spis_XP_022782085_1	Nvec_v1g37793
Spis_XP_022802957_1	Nvec_v1g39436
Spis_XP_022799611_1	Nvec_v1g39779
Spis_XP_022787484_1	Nvec_v1g45212
Spis_XP_022801846_1	Nvec_v1g47061
Spis_XP_022791011_1	Nvec_v1g47437
Spis_XP_022802187_1	Nvec_v1g48828
Spis_XP_022804238_1	Nvec_v1g59496
Spis_XP_022782301_1	Nvec_v1g59594
Spis_XP_022792040_1	Nvec_v1g59708
Spis_XP_022803267_1	Nvec_v1g80365
Spis_XP_022796939_1	Nvec_v1g83807
Spis_XP_022802009_1	Nvec_v1g84066
Spis_XP_022778864_1	Nvec_v1g84782
Spis_XP_022778864_1	Nvec_v1g85109
Spis_XP_022808660_1	Nvec_v1g89471
Spis_XP_022808057_1	Nvec_v1g89862
Spis_XP_022783126_1	Nvec_v1g90352
Spis_XP_022799611_1	Nvec_v1g90531
Spis_XP_022804770_1	Nvec_v1g90956
Spis_XP_022794392_1	Nvec_v1g95727
Spis_XP_022792346_1	Nvec_v1g97005
Spis_XP_022782276_1	Nvec_v1g99140
Spis_11086_1	Nvec_NVE15035
Spis_208_1	Nvec_NVE15035
Spis_22673_1	Nvec_NVE15035
Spis_25774_1	Nvec_v1g220027
Spis_6578_1	Nvec_v1g19525
Spis_XP_022778527_1	Nvec_v1g123077
Spis_XP_022779002_1	Nvec_v1g213787
Spis_XP_022779002_1	Nvec_v1g247538
Spis_XP_022779056_1	Nvec_v1g81183
Spis_XP_022779108_1	Nvec_v1g122918
Spis_XP_022779116_1	Nvec_v1g115110
Spis_XP_022779131_1	Nvec_v1g110858
Spis_XP_022779131_1	Nvec_v1g148786
Spis_XP_022779135_1	Nvec_NVE10331
Spis_XP_022779139_1	Nvec_v1g189134
Spis_XP_022779167_1	Nvec_NVE25568
Spis_XP_022779237_1	Nvec_v1g128275
Spis_XP_022779249_1	Nvec_v1g125496
Spis_XP_022779261_1	Nvec_v1g127893
Spis_XP_022779303_1	Nvec_v1g128289
Spis_XP_022779320_1	Nvec_v1g189242
Spis_XP_022779365_1	Nvec_v1g23386
Spis_XP_022779410_1	Nvec_v1g241780
Spis_XP_022779440_1	Nvec_v1g239130
Spis_XP_022779957_1	Nvec_v1g229833
Spis_XP_022779978_1	Nvec_v1g81232
Spis_XP_022780139_1	Nvec_v1g29595
Spis_XP_022780223_1	Nvec_v1g165603
Spis_XP_022780290_1	Nvec_NVE16556
Spis_XP_022780323_1	Nvec_v1g235335
Spis_XP_022780365_1	Nvec_v1g19278
Spis_XP_022780370_1	Nvec_v1g208963
Spis_XP_022780380_1	Nvec_v1g165614
Spis_XP_022780383_1	Nvec_v1g243817
Spis_XP_022780388_1	Nvec_v1g161808
Spis_XP_022780405_1	Nvec_v1g205768
Spis_XP_022780406_1	Nvec_v1g184843
Spis_XP_022780413_1	Nvec_v1g187332
Spis_XP_022780438_1	Nvec_v1g91926
Spis_XP_022780476_1	Nvec_v1g110212
Spis_XP_022780636_1	Nvec_v1g160110
Spis_XP_022780780_1	Nvec_v1g136480
Spis_XP_022780880_1	Nvec_v1g242923
Spis_XP_022780982_1	Nvec_v1g39668
Spis_XP_022781073_1	Nvec_v1g239891
Spis_XP_022781084_1	Nvec_v1g136480
Spis_XP_022781105_1	Nvec_v1g160868
Spis_XP_022781270_1	Nvec_v1g196609
Spis_XP_022781366_1	Nvec_v1g169217
Spis_XP_022781377_1	Nvec_v1g129257
Spis_XP_022781399_1	Nvec_v1g123903
Spis_XP_022781401_1	Nvec_v1g58039
Spis_XP_022781574_1	Nvec_v1g39805
Spis_XP_022781875_1	Nvec_v1g134544
Spis_XP_022781876_1	Nvec_v1g48953
Spis_XP_022781876_1	Nvec_v1g49015
Spis_XP_022781877_1	Nvec_v1g229018
Spis_XP_022781938_1	Nvec_v1g159087
Spis_XP_022781941_1	Nvec_v1g178332
Spis_XP_022781943_1	Nvec_v1g82891
Spis_XP_022781945_1	Nvec_v1g38935
Spis_XP_022782003_1	Nvec_v1g238559
Spis_XP_022782132_1	Nvec_v1g96414
Spis_XP_022782179_1	Nvec_v1g203423
Spis_XP_022782200_1	Nvec_v1g104726
Spis_XP_022782369_1	Nvec_v1g93991
